complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount
CP0030,C0529,O00682,DELAY,Email,HIGH,10/07/24 09:57,ESCALATED,22,34.84
CP0031,C0618,O00886,BILLING,Phone,MEDIUM,12/11/24 11:04,ESCALATED,2,30.35
CP0032,C0185,O00051,BILLING,Phone,MEDIUM,14/02/25 23:39,RESOLVED,7,7.09
CP0033,C0489,O00848,MISSEDPICKUP,App,MEDIUM,13/06/25 14:13,RESOLVED,8,34.92
CP0034,C0070,O00105,DRIVERBEHAVIOUR,App,MEDIUM,13/07/24 20:33,AWAITINGCUSTOMER,1,4.09
CP0035,C0206,O00650,DELAY,Email,LOW,10/03/25 10:28,RESOLVED,5,0.0
CP0036,C0282,O00751,DELAY,App,MEDIUM,07/08/24 00:51,AWAITINGCUSTOMER,2,42.3
CP0037,C0561,O00270,MISSEDPICKUP,Chatbot,MEDIUM,11/05/25 15:25,AWAITINGCUSTOMER,18,7.33
CP0038,C0562,O00175,DELAY,Chatbot,MEDIUM,19/12/25 19:13,RESOLVED,1,19.48
CP0039,C0231,O00797,DELAY,Email,HIGH,28/03/25 04:08,RESOLVED,14,24.39
CP0040,C0512,O00300,DELAY,Email,HIGH,04/11/24 00:39,RESOLVED,9,0.0
CP0041,C0146,O00744,MISSEDPICKUP,Chatbot,MEDIUM,27/04/25 03:30,OPEN,9,30.4
CP0042,C0361,O00094,SUPPORTEXPERIENCE,Email,MEDIUM,10/06/24 03:41,RESOLVED,4,26.2
CP0043,C0497,O00411,APPISSUE,App,MEDIUM,16/04/25 21:05,RESOLVED,11,15.35
CP0044,C0549,O00838,MISSEDPICKUP,Email,HIGH,28/01/25 00:04,RESOLVED,11,25.0
CP0045,C0599,O00421,DRIVERBEHAVIOUR,Email,MEDIUM,24/07/25 06:00,AWAITINGCUSTOMER,6,8.74
CP0046,C0269,O00573,MISSEDPICKUP,Email,HIGH,27/04/24 09:36,RESOLVED,9,60.3
CP0047,C0012,O01157,APPISSUE,Phone,MEDIUM,07/09/24 19:51,RESOLVED,11,19.21
CP0048,C0393,O00576,MISSEDPICKUP,Phone,HIGH,14/09/24 19:49,RESOLVED,22,22.5
CP0049,C0146,O00126,DRIVERBEHAVIOUR,Email,MEDIUM,27/05/24 09:04,RESOLVED,4,19.76
CP0050,C0163,O00955,DRIVERBEHAVIOUR,Phone,HIGH,01/11/25 14:30,RESOLVED,14,37.36
CP0051,C0274,O00863,APPISSUE,Phone,MEDIUM,22/09/25 18:41,RESOLVED,2,3.9
CP0052,C0157,O00115,SUPPORTEXPERIENCE,App,LOW,25/02/24 06:31,ESCALATED,3,0.0
CP0053,C0543,O01236,SUPPORTEXPERIENCE,Phone,HIGH,29/05/25 22:57,RESOLVED,13,26.07
CP0054,C0224,O00453,DELAY,App,MEDIUM,12/07/24 12:49,RESOLVED,1,36.38
CP0055,C0186,O00836,MISSEDPICKUP,Chatbot,HIGH,23/09/25 16:20,RESOLVED,14,60.3
CP0056,C0368,O00737,DELAY,Email,LOW,20/03/24 03:53,OPEN,9,7.02
CP0057,C0191,O00125,DELAY,App,MEDIUM,23/09/25 16:27,RESOLVED,5,24.91
CP0058,C0271,O00056,SUPPORTEXPERIENCE,App,MEDIUM,10/09/25 20:28,ESCALATED,1,10.06
CP0059,C0351,O00603,DELAY,Email,HIGH,03/04/24 23:29,RESOLVED,11,59.75
CP0060,C0490,O00869,MISSEDPICKUP,App,LOW,03/05/24 05:39,RESOLVED,4,0.0
CP0061,C0545,O00980,DRIVERBEHAVIOUR,Phone,MEDIUM,12/07/24 23:02,AWAITINGCUSTOMER,11,52.16
CP0062,C0162,O00367,DELAY,Email,LOW,16/07/25 09:35,RESOLVED,14,0.0
CP0063,C0164,O01219,BILLING,App,HIGH,28/06/25 09:52,ESCALATED,10,51.86
CP0064,C0215,O00311,APPISSUE,Chatbot,HIGH,30/11/24 00:06,RESOLVED,5,47.81
CP0065,C0162,O00367,APPISSUE,Email,LOW,23/07/25 09:35,RESOLVED,5,18.74
CP0066,C0552,O00741,APPISSUE,Email,MEDIUM,06/11/25 01:28,RESOLVED,10,25.09
CP0067,C0599,O00954,MISSEDPICKUP,App,LOW,22/07/24 02:17,RESOLVED,6,0.0
CP0068,C0166,O00743,DAMAGE,App,LOW,13/02/24 01:34,RESOLVED,10,0.0
CP0069,C0583,O00163,DELAY,Chatbot,MEDIUM,20/06/25 18:36,RESOLVED,4,35.96
CP0070,C0255,O00206,DELAY,Phone,MEDIUM,20/12/25 14:25,ESCALATED,7,28.5
CP0071,C0092,O00870,DELAY,Chatbot,MEDIUM,11/05/24 14:16,AWAITINGCUSTOMER,10,17.48
CP0072,C0495,O00581,BILLING,App,MEDIUM,12/10/25 05:52,OPEN,9,20.18
CP0073,C0331,O00073,DELAY,App,MEDIUM,04/07/25 04:59,AWAITINGCUSTOMER,12,0.0
CP0074,C0475,O00268,DELAY,Chatbot,HIGH,30/01/24 06:20,RESOLVED,7,0.0
CP0075,C0071,O00974,DELAY,Phone,LOW,22/06/25 00:41,RESOLVED,1,7.08
CP0076,C0028,O00290,MISSEDPICKUP,Chatbot,LOW,26/09/24 22:30,OPEN,15,0.0
CP0077,C0573,O00031,BILLING,Email,HIGH,11/02/24 03:17,RESOLVED,13,58.46
CP0078,C0261,O01162,APPISSUE,Email,LOW,06/09/25 10:51,AWAITINGCUSTOMER,1,18.23
CP0079,C0498,O00475,DELAY,Chatbot,MEDIUM,11/11/24 06:08,RESOLVED,1,0.0
CP0080,C0201,O00789,DRIVERBEHAVIOUR,App,MEDIUM,20/12/24 10:30,RESOLVED,6,18.79
CP0081,C0051,O01085,DELAY,App,MEDIUM,25/06/24 08:05,OPEN,1,19.53
CP0082,C0578,O00515,DELAY,App,MEDIUM,02/06/24 10:24,ESCALATED,7,10.81
CP0083,C0586,O00098,DRIVERBEHAVIOUR,Email,MEDIUM,04/03/24 20:18,ESCALATED,5,3.16
CP0084,C0647,O00272,DRIVERBEHAVIOUR,Chatbot,MEDIUM,16/12/24 05:03,RESOLVED,9,27.67
CP0085,C0622,O00190,DELAY,Phone,LOW,01/05/25 06:44,ESCALATED,17,18.19
CP0086,C0627,O00496,SUPPORTEXPERIENCE,Phone,MEDIUM,25/06/24 15:14,RESOLVED,7,33.83
CP0087,C0321,O01020,MISSEDPICKUP,Phone,LOW,11/03/24 02:18,RESOLVED,6,13.46
CP0088,C0180,O00285,DRIVERBEHAVIOUR,Phone,HIGH,13/01/25 13:22,RESOLVED,10,14.63
CP0089,C0296,O01224,APPISSUE,Email,LOW,06/12/24 12:40,RESOLVED,11,0.0
CP0090,C0123,O00333,MISSEDPICKUP,Phone,MEDIUM,04/06/25 05:27,RESOLVED,6,24.95
CP0091,C0331,O00652,DELAY,Phone,MEDIUM,13/11/24 21:45,RESOLVED,4,0.0
CP0092,C0031,O00263,DRIVERBEHAVIOUR,Email,HIGH,03/02/24 02:04,ESCALATED,12,46.65
CP0093,C0436,O00832,DELAY,App,MEDIUM,06/11/24 14:01,RESOLVED,2,16.98
CP0094,C0426,O00400,BILLING,Chatbot,LOW,07/01/25 06:33,RESOLVED,12,10.94
CP0095,C0649,O01240,APPISSUE,Chatbot,HIGH,10/11/25 14:51,RESOLVED,12,34.13
CP0096,C0001,O00007,APPISSUE,App,HIGH,05/12/24 21:32,RESOLVED,22,43.9
CP0097,C0282,O01227,DRIVERBEHAVIOUR,App,MEDIUM,11/07/24 10:32,ESCALATED,15,27.94
CP0098,C0482,O00335,MISSEDPICKUP,App,MEDIUM,31/01/24 03:09,RESOLVED,18,31.16
CP0099,C0110,O00574,APPISSUE,Email,MEDIUM,05/04/24 02:42,AWAITINGCUSTOMER,14,11.53
CP0100,C0078,O00476,DAMAGE,Phone,HIGH,28/02/24 06:34,AWAITINGCUSTOMER,25,42.71
CP0101,C0119,O00511,DRIVERBEHAVIOUR,Phone,MEDIUM,17/06/24 09:58,RESOLVED,8,0.0
CP0102,C0095,O00843,DELAY,Chatbot,MEDIUM,03/08/24 21:34,RESOLVED,6,14.27
CP0103,C0378,O00443,APPISSUE,Chatbot,LOW,23/10/25 00:06,RESOLVED,11,11.6
CP0104,C0257,O00602,APPISSUE,App,MEDIUM,15/12/25 09:57,RESOLVED,1,0.0
CP0105,C0538,O00129,MISSEDPICKUP,Chatbot,MEDIUM,19/12/24 02:28,RESOLVED,10,30.85
CP0106,C0595,O00145,APPISSUE,Chatbot,MEDIUM,11/10/24 10:33,RESOLVED,6,11.23
CP0107,C0396,O01024,DELAY,Email,HIGH,23/12/25 16:37,ESCALATED,7,33.22
CP0108,C0595,O00561,DELAY,Chatbot,MEDIUM,06/02/25 08:23,RESOLVED,1,13.57
CP0109,C0626,O00314,MISSEDPICKUP,Email,HIGH,22/02/25 21:55,RESOLVED,9,34.05
CP0110,C0564,O00950,APPISSUE,Phone,MEDIUM,29/05/25 02:25,AWAITINGCUSTOMER,8,12.12
CP0111,C0051,O00112,APPISSUE,Chatbot,MEDIUM,17/09/24 07:03,RESOLVED,5,12.4
CP0112,C0421,O00586,MISSEDPICKUP,App,HIGH,04/09/24 07:09,AWAITINGCUSTOMER,7,45.85
CP0113,C0174,O00227,MISSEDPICKUP,App,LOW,13/08/25 20:06,RESOLVED,5,5.7
CP0114,C0480,O01104,MISSEDPICKUP,Phone,MEDIUM,27/09/24 16:27,OPEN,5,0.0
CP0115,C0369,O00709,MISSEDPICKUP,Phone,MEDIUM,14/12/25 03:49,OPEN,1,32.02
CP0116,C0287,O00178,DAMAGE,App,LOW,31/03/24 19:55,ESCALATED,3,18.49
CP0117,C0560,O00831,DELAY,Phone,HIGH,03/07/25 08:02,RESOLVED,11,35.62
CP0118,C0272,O00541,DELAY,Chatbot,LOW,11/11/24 02:46,AWAITINGCUSTOMER,3,10.75
CP0119,C0142,O00795,DELAY,Email,MEDIUM,22/06/25 13:49,AWAITINGCUSTOMER,12,0.0
CP0120,C0558,O00005,MISSEDPICKUP,Phone,MEDIUM,25/02/25 19:32,RESOLVED,8,54.41
CP0121,C0421,O00219,BILLING,Phone,MEDIUM,06/05/24 23:42,RESOLVED,9,27.42
CP0122,C0619,O00919,APPISSUE,Email,HIGH,02/09/25 07:06,AWAITINGCUSTOMER,9,35.13
CP0123,C0361,O01222,DRIVERBEHAVIOUR,App,HIGH,20/09/25 01:14,RESOLVED,23,33.77
CP0124,C0077,O00023,SUPPORTEXPERIENCE,Phone,LOW,16/10/25 04:59,RESOLVED,7,0.0
CP0125,C0647,O01036,APPISSUE,App,LOW,03/06/24 19:43,RESOLVED,2,3.4
CP0126,C0093,O00369,DELAY,App,MEDIUM,10/04/24 12:27,OPEN,15,12.62
CP0127,C0368,O00737,APPISSUE,App,MEDIUM,17/03/24 03:53,RESOLVED,6,1.15
CP0128,C0142,O00795,MISSEDPICKUP,Email,MEDIUM,17/06/25 13:49,ESCALATED,6,16.5
CP0129,C0476,O00686,DELAY,Phone,MEDIUM,13/01/25 12:20,RESOLVED,4,21.23
CP0130,C0581,O00618,DELAY,Email,HIGH,27/11/25 10:42,AWAITINGCUSTOMER,12,24.38
CP0131,C0583,O00452,DELAY,Email,HIGH,12/09/25 09:35,OPEN,14,32.48
CP0132,C0552,O00368,APPISSUE,Phone,HIGH,12/10/24 22:26,RESOLVED,6,41.06
CP0133,C0480,O01104,DELAY,App,HIGH,21/09/24 16:27,OPEN,15,38.76
CP0134,C0325,O00167,DELAY,Phone,LOW,29/04/24 20:46,RESOLVED,6,21.16
CP0135,C0610,O00782,DELAY,App,MEDIUM,28/04/24 01:47,ESCALATED,12,21.82
CP0136,C0412,O00711,DELAY,Chatbot,LOW,15/12/24 12:25,RESOLVED,3,0.0
CP0137,C0549,O00838,DRIVERBEHAVIOUR,App,MEDIUM,02/04/25 00:04,RESOLVED,1,14.08
CP0138,C0400,O00296,DAMAGE,Phone,HIGH,18/01/24 17:30,ESCALATED,6,31.84
CP0139,C0368,O00750,SUPPORTEXPERIENCE,Phone,HIGH,02/05/24 07:49,RESOLVED,16,46.47
CP0140,C0177,O00062,MISSEDPICKUP,Email,HIGH,08/01/25 08:11,RESOLVED,11,61.45
CP0141,C0591,O01046,DRIVERBEHAVIOUR,App,MEDIUM,01/07/26 11:24,RESOLVED,6,11.71
CP0142,C0476,O00087,APPISSUE,Chatbot,LOW,19/11/24 14:07,RESOLVED,3,8.27
CP0143,C0508,O00717,SUPPORTEXPERIENCE,Phone,MEDIUM,18/12/24 21:04,OPEN,3,16.43
CP0144,C0078,O01121,DELAY,Chatbot,HIGH,14/06/24 05:59,RESOLVED,10,58.9
CP0145,C0436,O01065,APPISSUE,Email,LOW,25/07/24 11:49,RESOLVED,3,21.27
CP0146,C0001,O00666,DELAY,Phone,MEDIUM,09/01/25 20:17,RESOLVED,4,0.0
CP0147,C0383,O01172,DRIVERBEHAVIOUR,Phone,HIGH,29/09/24 19:02,OPEN,15,33.52
CP0148,C0189,O01232,DAMAGE,Phone,MEDIUM,22/01/24 20:35,ESCALATED,9,11.0
CP0149,C0550,O00425,APPISSUE,Phone,MEDIUM,27/11/24 08:15,RESOLVED,10,38.03
CP0150,C0546,O00458,DAMAGE,App,HIGH,18/04/25 01:52,ESCALATED,16,15.85
CP0151,C0574,O00729,MISSEDPICKUP,Phone,MEDIUM,01/02/26 22:24,RESOLVED,1,0.0
CP0152,C0023,O01101,DELAY,App,LOW,16/01/24 06:59,RESOLVED,14,27.41
CP0153,C0119,O00511,DRIVERBEHAVIOUR,Chatbot,MEDIUM,18/06/24 09:58,RESOLVED,8,20.06
CP0154,C0630,O00282,DELAY,App,MEDIUM,28/01/24 04:13,OPEN,7,0.0
CP0155,C0613,O00999,APPISSUE,Email,MEDIUM,07/05/24 10:26,ESCALATED,6,18.06
CP0156,C0372,O00943,APPISSUE,Chatbot,MEDIUM,05/01/25 08:55,RESOLVED,1,0.0
CP0157,C0169,O00998,APPISSUE,App,LOW,12/06/24 01:26,AWAITINGCUSTOMER,2,31.26
CP0158,C0110,O01131,DELAY,App,LOW,20/08/24 14:20,RESOLVED,2,0.0
CP0159,C0372,O00348,DELAY,App,HIGH,16/03/25 22:06,ESCALATED,15,34.82
CP0160,C0248,O01134,DELAY,Phone,MEDIUM,04/12/25 23:59,AWAITINGCUSTOMER,9,25.69
CP0161,C0107,O01080,BILLING,Email,HIGH,05/01/25 10:04,OPEN,9,46.94
CP0162,C0138,O00801,MISSEDPICKUP,Phone,MEDIUM,04/02/24 14:49,AWAITINGCUSTOMER,6,22.27
CP0163,C0326,O00045,BILLING,App,MEDIUM,19/02/24 18:38,OPEN,3,11.17
CP0164,C0062,O00468,DELAY,Chatbot,MEDIUM,04/01/24 10:24,RESOLVED,13,3.0
CP0165,C0161,O00003,APPISSUE,Phone,MEDIUM,09/07/25 14:37,OPEN,2,8.66
CP0166,C0465,O00910,DRIVERBEHAVIOUR,Phone,MEDIUM,08/01/25 03:46,OPEN,11,18.57
CP0167,C0578,O00837,DAMAGE,Chatbot,LOW,26/04/24 16:50,RESOLVED,1,11.75
CP0168,C0628,O00752,DRIVERBEHAVIOUR,Email,MEDIUM,06/01/25 08:27,RESOLVED,10,30.4
CP0169,C0419,O00879,MISSEDPICKUP,App,MEDIUM,07/08/25 00:21,RESOLVED,9,11.78
CP0170,C0242,O00512,DRIVERBEHAVIOUR,App,HIGH,10/01/24 10:35,RESOLVED,16,54.34
CP0171,C0020,O00880,APPISSUE,Phone,MEDIUM,30/08/24 17:56,ESCALATED,14,18.37
CP0172,C0629,O00216,DELAY,App,LOW,20/05/25 10:14,RESOLVED,11,0.0
CP0173,C0212,O00544,DELAY,App,MEDIUM,25/06/24 19:25,RESOLVED,3,52.43
CP0174,C0116,O00594,DRIVERBEHAVIOUR,Chatbot,HIGH,16/03/24 19:40,OPEN,9,0.0
CP0175,C0317,O00551,DAMAGE,Phone,LOW,19/06/24 11:10,ESCALATED,11,11.99
CP0176,C0073,O00309,DELAY,Chatbot,MEDIUM,20/10/25 11:57,RESOLVED,6,36.04
CP0177,C0046,O00839,DELAY,Chatbot,LOW,02/09/24 17:41,RESOLVED,2,14.06
CP0178,C0279,O01244,DELAY,Phone,HIGH,14/03/25 06:32,RESOLVED,10,0.0
CP0179,C0509,O00441,APPISSUE,App,LOW,04/12/25 12:25,RESOLVED,1,16.17
CP0180,C0485,O00378,DAMAGE,Chatbot,HIGH,04/07/24 19:50,ESCALATED,18,38.34
CP0181,C0384,O00965,SUPPORTEXPERIENCE,Chatbot,MEDIUM,10/04/24 14:59,OPEN,3,31.97
CP0182,C0012,O01157,APPISSUE,Phone,LOW,07/09/24 19:51,OPEN,12,15.45
CP0183,C0122,O00259,SUPPORTEXPERIENCE,Chatbot,MEDIUM,13/09/25 09:55,ESCALATED,4,20.4
CP0184,C0025,O00161,MISSEDPICKUP,Phone,MEDIUM,20/08/24 17:36,OPEN,3,19.47
CP0185,C0100,O01151,MISSEDPICKUP,Email,MEDIUM,07/03/24 12:48,RESOLVED,6,5.59
CP0186,C0391,O00817,DELAY,App,MEDIUM,01/02/26 07:45,AWAITINGCUSTOMER,13,13.55
CP0187,C0259,O00351,DELAY,Email,LOW,27/04/24 03:31,ESCALATED,10,1.93
CP0188,C0139,O00404,BILLING,Phone,LOW,19/10/25 20:55,RESOLVED,7,8.19
CP0189,C0517,O00166,DELAY,Chatbot,MEDIUM,06/08/25 17:32,RESOLVED,9,19.84
CP0190,C0138,O00801,DAMAGE,App,LOW,31/03/24 14:49,AWAITINGCUSTOMER,6,7.16
CP0191,C0358,O00840,DELAY,Phone,MEDIUM,04/07/24 16:35,OPEN,11,14.02
CP0192,C0032,O00440,APPISSUE,Email,MEDIUM,15/12/24 02:05,RESOLVED,2,18.72
CP0193,C0612,O00467,DELAY,Phone,MEDIUM,13/10/24 16:16,AWAITINGCUSTOMER,1,15.83
CP0194,C0172,O00330,MISSEDPICKUP,App,MEDIUM,04/11/25 06:37,RESOLVED,1,6.47
CP0195,C0110,O01131,DELAY,Phone,HIGH,18/08/24 14:20,OPEN,8,32.61
CP0196,C0505,O01135,DAMAGE,Phone,MEDIUM,20/11/24 19:03,RESOLVED,12,22.87
CP0197,C0611,O00128,DELAY,Phone,MEDIUM,01/04/26 13:56,AWAITINGCUSTOMER,9,0.0
CP0198,C0621,O00609,DELAY,Phone,MEDIUM,17/09/24 07:15,RESOLVED,2,8.38
CP0199,C0180,O01018,DRIVERBEHAVIOUR,App,HIGH,03/04/24 13:58,AWAITINGCUSTOMER,13,25.05
CP0200,C0256,O00267,DRIVERBEHAVIOUR,Phone,MEDIUM,28/01/24 20:20,AWAITINGCUSTOMER,1,8.85
CP0201,C0168,O00485,DELAY,Chatbot,MEDIUM,12/01/24 01:17,RESOLVED,13,24.03
CP0202,C0422,O00529,MISSEDPICKUP,Phone,MEDIUM,21/08/25 17:48,RESOLVED,7,6.73
CP0203,C0279,O01030,DRIVERBEHAVIOUR,Phone,MEDIUM,09/10/25 08:36,RESOLVED,4,12.46
CP0204,C0140,O00720,DELAY,Chatbot,MEDIUM,30/08/24 18:27,OPEN,4,0.0
CP0205,C0104,O01005,MISSEDPICKUP,App,MEDIUM,05/11/25 17:35,AWAITINGCUSTOMER,5,20.67
CP0206,C0627,O01119,DRIVERBEHAVIOUR,App,MEDIUM,04/08/24 09:03,RESOLVED,1,13.45
CP0207,C0173,O00792,APPISSUE,Email,LOW,02/08/25 06:22,AWAITINGCUSTOMER,12,0.0
CP0208,C0510,O01125,APPISSUE,Phone,HIGH,26/06/25 11:43,AWAITINGCUSTOMER,20,26.22
CP0209,C0447,O00171,MISSEDPICKUP,Email,LOW,05/08/25 02:08,ESCALATED,7,9.0
CP0210,C0335,O00229,MISSEDPICKUP,Chatbot,MEDIUM,09/11/24 04:43,RESOLVED,10,28.12
CP0211,C0191,O00125,DELAY,App,LOW,18/09/25 16:27,RESOLVED,11,13.79
CP0212,C0095,O01064,MISSEDPICKUP,App,MEDIUM,27/12/25 18:49,RESOLVED,3,19.18
CP0213,C0368,O00629,DELAY,Email,MEDIUM,10/11/24 05:44,AWAITINGCUSTOMER,3,22.87
CP0214,C0145,O00048,MISSEDPICKUP,App,HIGH,27/11/24 06:49,RESOLVED,12,61.85
CP0215,C0533,O00927,SUPPORTEXPERIENCE,Chatbot,HIGH,17/05/25 03:53,RESOLVED,15,29.11
CP0216,C0084,O00644,DELAY,App,MEDIUM,11/04/25 08:47,RESOLVED,4,32.45
CP0217,C0571,O00941,DRIVERBEHAVIOUR,Phone,MEDIUM,18/08/24 12:54,RESOLVED,1,6.19
CP0218,C0171,O01039,MISSEDPICKUP,App,MEDIUM,13/05/25 10:43,RESOLVED,7,19.7
CP0219,C0232,O00540,DELAY,Phone,MEDIUM,07/03/24 03:50,RESOLVED,6,22.23
CP0220,C0097,O00254,APPISSUE,Email,LOW,25/09/24 17:01,AWAITINGCUSTOMER,1,8.94
CP0221,C0032,O01034,DELAY,Email,LOW,24/06/25 08:43,RESOLVED,11,8.34
CP0222,C0282,O00751,DELAY,Email,LOW,07/01/24 00:51,RESOLVED,4,4.39
CP0223,C0529,O01136,DELAY,App,LOW,25/04/24 14:05,RESOLVED,6,2.44
CP0224,C0564,O00950,DELAY,Chatbot,LOW,22/05/25 02:25,RESOLVED,14,25.81
CP0225,C0531,O00082,MISSEDPICKUP,Phone,MEDIUM,30/07/24 03:44,OPEN,11,20.66
CP0226,C0292,O01129,DELAY,Chatbot,LOW,26/03/25 15:04,RESOLVED,1,6.68
CP0227,C0026,O00621,DRIVERBEHAVIOUR,Phone,MEDIUM,17/05/25 19:01,RESOLVED,8,9.16
CP0228,C0242,O00920,DELAY,Email,MEDIUM,08/02/24 11:42,OPEN,8,8.1
CP0229,C0272,O00541,MISSEDPICKUP,Chatbot,LOW,11/11/24 02:46,ESCALATED,11,4.1
CP0230,C0054,O00445,APPISSUE,App,LOW,26/04/25 22:53,OPEN,12,0.0
CP0231,C0639,O00774,MISSEDPICKUP,Phone,LOW,22/09/25 23:01,OPEN,1,20.06
CP0232,C0539,O00520,DELAY,Email,LOW,07/12/24 13:21,RESOLVED,7,8.32
CP0233,C0339,O00884,MISSEDPICKUP,Email,MEDIUM,24/04/24 01:52,RESOLVED,3,10.05
CP0234,C0140,O00720,BILLING,App,HIGH,31/08/24 18:27,RESOLVED,16,52.03
CP0235,C0611,O00632,DELAY,Chatbot,MEDIUM,08/09/24 21:40,RESOLVED,3,32.8
CP0236,C0029,O00430,APPISSUE,Phone,MEDIUM,17/01/25 01:45,RESOLVED,11,7.71
CP0237,C0508,O01171,DRIVERBEHAVIOUR,App,MEDIUM,21/12/24 00:50,RESOLVED,8,14.83
CP0238,C0014,O00731,MISSEDPICKUP,Phone,MEDIUM,14/03/24 19:38,OPEN,3,36.85
CP0239,C0213,O00931,MISSEDPICKUP,App,HIGH,03/11/24 09:00,RESOLVED,20,27.41
CP0240,C0428,O00220,DRIVERBEHAVIOUR,Chatbot,MEDIUM,31/05/24 08:24,OPEN,7,0.0
CP0241,C0351,O00989,DELAY,Phone,HIGH,17/03/24 12:01,RESOLVED,14,42.27
CP0242,C0345,O01211,APPISSUE,Chatbot,LOW,18/11/25 07:13,OPEN,7,2.97
CP0243,C0390,O00736,DRIVERBEHAVIOUR,Chatbot,MEDIUM,26/01/24 22:33,ESCALATED,3,23.87
CP0244,C0575,O01168,MISSEDPICKUP,Chatbot,LOW,21/12/24 21:12,OPEN,1,6.72
CP0245,C0646,O00385,APPISSUE,Phone,HIGH,11/02/25 15:32,RESOLVED,17,16.36
CP0246,C0343,O00307,DRIVERBEHAVIOUR,Email,MEDIUM,01/04/25 22:15,RESOLVED,3,15.88
CP0247,C0269,O00573,APPISSUE,Email,MEDIUM,30/04/24 09:36,RESOLVED,3,14.92
CP0248,C0452,O00116,BILLING,Phone,LOW,16/03/25 15:46,OPEN,5,1.45
CP0249,C0074,O00824,DRIVERBEHAVIOUR,Email,LOW,21/08/24 20:47,OPEN,5,10.32
CP0250,C0626,O00948,DELAY,Email,MEDIUM,17/05/25 03:07,ESCALATED,1,0.0
CP0251,C0399,O00169,DELAY,Chatbot,LOW,12/04/25 12:34,RESOLVED,4,0.0
CP0252,C0142,O00795,MISSEDPICKUP,Email,HIGH,19/06/25 13:49,RESOLVED,13,42.64
CP0253,C0567,O00012,APPISSUE,App,MEDIUM,25/01/24 12:45,RESOLVED,13,22.73
CP0254,C0072,O00626,SUPPORTEXPERIENCE,Chatbot,LOW,01/06/25 12:54,AWAITINGCUSTOMER,1,7.49
