delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_duration_hrs,is_late
DL00037,O00185,D010,V113,H05,15/05/25 02:24,16/05/25 02:10,OnTime,23.49,1,0,4.21,11.21,23.77,0
DL00038,O00727,D096,V002,H02,26/10/25 15:31,26/10/25 16:43,OnTime,8.82,2,0,3.43,13.21,1.2,0
DL00039,O00542,D090,V034,H08,26/07/25 15:58,27/07/25 04:22,OnTime,17.13,1,0,2.51,16.3,12.4,1
DL00040,O00919,D027,V036,H04,01/02/25 08:38,02/02/25 04:04,OnTime,9.53,1,0,1.68,11.11,19.43,1
DL00041,O00750,D100,V057,H08,01/02/24 08:58,01/02/24 19:53,OnTime,15.88,3,1,2.94,13.19,10.92,1
DL00042,O00009,D146,V020,H01,04/10/24 01:05,04/10/24 10:49,OnTime,12.02,0,0,4.45,11.41,9.73,0
DL00043,O00453,D110,V039,H07,04/12/24 15:46,04/12/24 20:31,OnTime,11.94,0,0,4.24,11.81,4.75,0
DL00044,O00147,D049,V020,H01,12/07/24 09:47,12/07/24 12:20,OnTime,4.63,0,0,4.34,12.87,2.55,0
DL00045,O00924,D157,V051,H08,07/11/25 00:32,07/11/25 21:03,OnTime,10.61,1,0,5.0,14.13,20.52,0
DL00046,O00101,D088,V046,H05,30/10/25 07:35,31/10/25 06:59,OnTime,5.53,2,0,3.09,11.27,23.4,0
DL00047,O00263,D045,V091,H06,19/02/24 04:07,19/02/24 03:46,OnTime,16.33,0,0,5.0,10.25,0.0,0
DL00048,O00358,D045,V093,H05,20/03/24 13:40,20/03/24 18:11,Delayed,7.37,0,0,3.33,14.67,4.52,1
DL00049,O01076,D091,V018,H02,29/09/24 01:23,29/09/24 07:46,OnTime,12.55,0,0,3.52,6.93,6.38,1
DL00050,O00534,D065,V046,H06,05/09/25 05:03,05/09/25 03:24,OnTime,26.85,0,0,5.0,14.34,0.0,0
DL00051,O00785,D150,V055,H07,31/12/25 17:27,31/12/25 18:05,OnTime,8.02,0,0,4.31,14.59,0.63,0
DL00052,O00554,D168,V020,H08,06/05/25 10:37,06/05/25 20:57,Delayed,26.380000000000003,1,1,2.52,24.54,10.33,1
DL00053,O00302,D018,V099,H01,10/07/25 18:38,11/07/25 17:06,OnTime,14.14,0,0,3.63,10.32,22.47,0
DL00054,O01044,D117,V079,H01,14/02/25 07:41,14/02/25 20:37,Delayed,29.8,1,0,4.7,22.28,12.93,1
DL00055,O00819,D069,V018,H04,28/04/25 21:37,29/04/25 04:45,Delayed,35.07,5,1,2.78,22.2,7.13,1
DL00056,O00698,D137,V081,H08,22/10/24 21:45,22/10/24 22:00,OnTime,13.46,2,0,4.01,6.52,0.25,0
DL00057,O00921,D141,V077,H04,09/12/24 10:53,09/12/24 20:18,OnTime,10.91,0,0,1.22,6.59,9.42,1
DL00058,O01062,D125,V082,H02,26/10/24 18:46,26/10/24 22:22,OnTime,15.33,0,0,5.0,7.95,3.6,0
DL00059,O00521,D027,V088,H05,26/11/25 14:07,26/11/25 18:49,Delayed,36.28,3,0,3.11,17.45,4.7,1
DL00060,O00236,D005,V026,H02,26/11/24 16:01,,CANCELLED,13.92,1,1,2.35,9.48,,0
DL00061,O00635,D083,V059,H08,06/12/24 06:18,06/12/24 05:02,OnTime,10.51,1,0,3.8,10.6,0.0,0
DL00062,O00567,D061,V007,H02,24/02/24 16:31,25/02/24 15:31,OnTime,1.2,0,0,5.0,7.32,23.0,0
DL00063,O00931,D154,V094,H03,07/03/24 11:20,07/03/24 15:02,OnTime,15.95,0,0,5.0,14.6,3.7,0
DL00064,O01236,D075,V004,H03,30/05/25 00:35,30/05/25 23:36,Delayed,10.36,0,0,2.34,7.13,23.02,1
DL00065,O01234,D050,V065,H01,24/02/24 01:55,24/02/24 01:52,OnTime,1.67,1,0,4.63,6.2,0.0,0
DL00066,O00568,D118,V083,H01,19/12/25 20:41,20/12/25 00:15,OnTime,22.39,0,0,4.03,18.25,3.57,0
DL00067,O00842,D152,V023,H01,04/07/25 04:43,04/07/25 14:29,OnTime,12.34,1,0,4.61,11.04,9.77,0
DL00068,O00828,D104,V046,H08,19/02/24 15:15,21/02/24 03:47,OnTime,19.75,1,0,3.73,16.14,36.53,1
DL00069,O01039,D010,V074,H07,01/05/25 11:46,01/05/25 19:43,OnTime,16.76,1,0,4.17,10.73,7.95,1
DL00070,O00370,D018,V036,H07,21/11/24 18:37,21/11/24 21:57,OnTime,16.35,0,0,4.64,18.11,3.33,0
DL00071,O00796,D093,V080,H02,28/01/25 06:57,28/01/25 22:41,Delayed,20.37,1,0,3.57,18.14,15.73,1
DL00072,O00402,D110,V027,H05,20/11/25 06:20,20/11/25 19:21,Delayed,28.51,0,0,3.28,15.11,13.02,1
DL00073,O00421,D141,V092,H08,23/07/25 07:06,24/07/25 05:47,OnTime,19.34,3,0,4.68,17.54,22.68,0
DL00074,O01195,D030,V092,H04,04/01/25 08:41,05/01/25 00:01,OnTime,17.61,1,0,4.42,14.79,15.33,1
DL00075,O01239,D169,V047,H02,06/08/24 04:24,06/08/24 05:22,OnTime,13.25,3,0,3.24,11.94,0.97,0
DL00076,O00815,D120,V004,H01,25/02/24 17:02,26/02/24 17:44,OnTime,27.51,3,0,5.0,15.16,24.7,1
DL00077,O01040,D094,V067,H04,27/12/25 22:16,28/12/25 11:51,Delayed,32.97,3,0,2.81,18.07,13.58,1
DL00078,O00173,D144,V088,H02,18/02/25 08:26,19/02/25 03:34,OnTime,10.92,1,0,2.87,9.05,19.13,1
DL00079,O00920,D009,V102,H08,01/08/24 12:06,01/08/24 23:56,OnTime,7.18,0,0,4.91,12.79,11.83,0
DL00080,O01137,D030,V022,H04,14/10/25 08:21,14/10/25 08:32,OnTime,16.29,0,0,4.42,14.17,0.18,0
DL00081,O00716,D166,V056,H04,22/10/24 06:38,22/10/24 19:18,Delayed,9.77,1,1,3.58,12.68,12.67,1
DL00082,O00669,D008,V048,H03,15/07/25 15:38,16/07/25 00:44,OnTime,3.98,1,0,4.76,5.86,9.1,0
DL00083,O00451,D053,V043,H05,15/02/25 18:28,16/02/25 13:33,Delayed,2.13,0,0,1.44,11.27,19.08,1
DL00084,O00784,D063,V117,H05,07/03/25 03:24,08/03/25 07:43,OnTime,6.83,0,0,3.63,9.07,28.32,1
DL00085,O00160,D127,V032,H06,20/08/24 19:18,,CANCELLED,9.49,5,0,3.85,16.32,,0
DL00086,O01013,D159,V063,H02,22/08/25 17:32,22/08/25 19:39,OnTime,17.4,0,0,3.75,12.23,2.12,0
DL00087,O00630,D034,V099,H07,28/03/25 15:08,28/03/25 15:28,OnTime,17.98,0,0,4.11,13.23,0.33,0
DL00088,O00657,D088,V043,H04,28/02/24 23:43,29/02/24 03:16,OnTime,5.99,0,0,4.43,2.5,3.55,0
DL00089,O00241,D010,V112,H03,01/04/25 15:27,01/04/25 20:28,OnTime,8.27,0,0,2.56,6.94,5.02,1
DL00090,O01097,D027,V065,H04,14/07/24 23:21,15/07/24 09:00,OnTime,33.86,3,0,4.76,24.2,9.65,0
DL00091,O00941,D116,V044,H04,12/08/24 15:04,12/08/24 14:48,OnTime,14.47,0,0,5.0,10.57,0.0,0
DL00092,O00736,D105,V016,H01,25/01/24 00:39,25/01/24 10:47,OnTime,7.66,1,0,4.72,8.17,10.13,0
DL00093,O00579,D028,V032,H05,05/09/25 12:14,05/09/25 12:49,OnTime,19.68,3,0,3.69,18.64,0.58,0
DL00094,O01026,D034,V012,H04,26/05/25 22:56,27/05/25 09:41,Delayed,4.66,0,0,3.72,16.6,10.75,1
DL00095,O00416,D031,V005,H08,07/01/24 23:00,07/01/24 21:37,OnTime,28.69,1,0,5.0,13.48,0.0,0
DL00096,O00961,D077,V110,H01,18/03/25 16:23,,CANCELLED,1.2,0,0,3.24,2.61,,0
DL00097,O00794,D170,V109,H07,16/07/24 22:51,18/07/24 01:52,OnTime,10.54,1,0,3.58,3.56,27.02,1
DL00098,O00631,D004,V072,H07,05/07/25 09:16,05/07/25 15:47,OnTime,3.86,1,0,4.43,15.58,6.52,1
DL00099,O00835,D127,V093,H01,26/05/24 18:57,26/05/24 21:53,OnTime,5.6,2,0,4.75,13.26,2.93,0
DL00100,O00205,D120,V097,H05,05/02/25 16:42,06/02/25 07:09,OnTime,8.64,0,0,3.14,13.47,14.45,1
DL00101,O00354,D141,V115,H06,02/12/25 18:06,02/12/25 19:18,OnTime,21.63,0,0,4.12,14.3,1.2,0
DL00102,O00578,D031,V022,H02,04/03/24 09:56,04/03/24 13:51,Delayed,9.18,0,0,3.08,11.31,3.92,0
DL00103,O00269,D004,V036,H04,01/12/24 01:20,01/12/24 21:58,OnTime,6.26,2,0,2.24,9.31,20.63,1
DL00104,O00390,D102,V111,H06,06/03/24 12:50,06/03/24 20:08,OnTime,8.75,0,0,4.45,7.5,7.3,1
DL00105,O00596,D020,V043,H01,02/10/25 04:09,02/10/25 10:54,OnTime,18.52,0,0,3.73,20.45,6.75,0
DL00106,O00039,D040,V015,H05,01/08/25 08:30,01/08/25 12:18,OnTime,18.02,0,0,4.92,15.57,3.8,0
DL00107,O00175,D120,V074,H05,19/12/25 20:22,19/12/25 21:26,OnTime,6.47,1,0,4.69,8.8,1.07,0
DL00108,O00620,D084,V009,H06,08/11/24 01:38,08/11/24 03:02,OnTime,13.73,1,0,4.73,17.52,1.4,0
DL00109,O00019,D014,V083,H05,31/03/24 09:02,31/03/24 12:20,OnTime,16.7,1,0,3.52,16.91,3.3,0
DL00110,O00045,D024,V042,H03,13/02/24 21:24,14/02/24 01:15,OnTime,14.39,1,0,4.74,8.64,3.85,0
DL00111,O00105,D081,V090,H06,09/07/24 23:17,09/07/24 22:43,OnTime,18.8,0,0,5.0,20.02,0.0,0
DL00112,O00848,D068,V049,H05,03/06/25 14:51,03/06/25 20:37,OnTime,10.88,3,0,3.68,8.03,5.77,0
DL00113,O00607,D072,V083,H05,30/08/25 19:15,31/08/25 06:58,OnTime,7.42,0,0,2.94,15.7,11.72,0
DL00114,O01196,D074,V114,H02,12/04/24 03:31,12/04/24 20:47,Delayed,16.99,0,0,2.62,19.44,17.27,1
DL00115,O01132,D030,V116,H04,04/05/25 01:04,04/05/25 01:53,OnTime,18.75,1,0,4.35,8.08,0.82,0
DL00116,O00121,D023,V047,H06,14/10/25 13:45,15/10/25 08:06,Delayed,19.9,0,0,2.92,21.64,18.35,1
DL00117,O00559,D080,V119,H06,24/04/25 08:49,24/04/25 23:39,Delayed,11.84,0,1,2.46,17.91,14.83,1
DL00118,O00660,D143,V004,H01,05/06/24 01:27,05/06/24 16:05,OnTime,11.45,3,0,2.16,8.94,14.63,1
DL00119,O01011,D076,V037,H03,28/02/24 07:57,29/02/24 14:55,OnTime,32.37,3,0,1.71,25.09,30.97,1
DL00120,O00007,D128,V047,H06,05/05/24 22:10,06/05/24 07:05,Delayed,9.07,1,1,3.93,9.76,8.92,1
DL00121,O00091,D078,V100,H05,14/03/24 02:36,14/03/24 09:52,OnTime,18.81,0,0,3.92,11.62,7.27,1
DL00122,O00434,D122,V092,H01,25/10/25 21:25,25/10/25 20:15,OnTime,29.52,4,0,4.63,10.56,0.0,0
DL00123,O00284,D030,V025,H04,02/04/24 13:26,03/04/24 09:11,OnTime,13.45,2,0,4.75,12.86,19.75,0
DL00124,O00210,D113,V040,H05,14/05/24 20:07,15/05/24 00:02,OnTime,14.23,2,0,4.78,19.49,3.92,0
DL00125,O00472,D021,V109,H05,22/02/24 10:05,22/02/24 12:39,OnTime,14.25,3,0,3.68,12.59,2.57,0
DL00126,O00547,D159,V001,H07,09/04/24 14:36,10/04/24 19:11,Delayed,17.68,0,0,2.6,10.92,28.58,1
DL00127,O01072,D026,V099,H02,05/10/24 00:19,05/10/24 18:08,Delayed,16.56,2,0,2.12,11.9,17.82,1
DL00128,O00868,D089,V099,H07,18/05/24 16:31,18/05/24 18:54,OnTime,9.43,0,0,4.47,10.47,2.38,0
DL00129,O00425,D030,V078,H08,27/11/24 08:41,27/11/24 12:07,OnTime,21.27,3,0,5.0,11.59,3.43,0
DL00130,O00400,D113,V042,H03,20/06/25 08:41,20/06/25 12:30,OnTime,17.1,0,0,3.87,13.53,3.82,0
DL00131,O00890,D037,V096,H07,05/07/25 10:26,06/07/25 08:48,OnTime,16.59,0,0,4.33,3.25,22.37,0
DL00132,O00688,D058,V061,H03,25/04/24 08:29,25/04/24 16:02,OnTime,19.79,0,0,4.62,5.66,7.55,1
DL00133,O00761,D083,V070,H03,12/08/25 05:33,12/08/25 17:33,OnTime,17.73,1,0,3.29,10.88,12.0,0
DL00134,O00334,D135,V071,H03,23/05/24 12:01,23/05/24 14:46,OnTime,13.27,0,0,3.88,7.63,2.75,0
DL00135,O00225,D069,V075,H03,28/07/25 04:31,29/07/25 01:14,OnTime,10.34,2,0,3.6,9.3,20.72,1
DL00136,O00527,D032,V106,H06,05/04/24 06:41,05/04/24 11:08,OnTime,4.06,1,0,4.45,5.7,4.45,0
DL00137,O01216,D053,V109,H07,28/08/25 20:12,29/08/25 00:36,Delayed,13.46,2,0,2.72,11.11,4.4,0
DL00138,O00705,D019,V071,H04,09/09/25 22:58,10/09/25 05:00,OnTime,11.23,2,0,4.75,15.22,6.03,1
DL00139,O01215,D140,V084,H05,05/08/25 03:23,05/08/25 12:37,OnTime,12.23,0,0,3.57,13.59,9.23,0
DL00140,O00656,D079,V050,H06,08/01/25 00:27,08/01/25 08:59,Delayed,15.69,0,1,2.23,11.96,8.53,1
DL00141,O00021,D166,V094,H04,16/10/24 12:41,16/10/24 12:59,OnTime,10.45,1,0,4.77,7.89,0.3,0
DL00142,O00612,D158,V016,H08,19/05/25 20:32,20/05/25 00:33,OnTime,4.04,2,0,3.27,15.78,4.02,1
DL00143,O00757,D026,V051,H04,22/02/25 08:56,23/02/25 01:28,Delayed,22.37,0,0,3.64,19.33,16.53,1
DL00144,O00170,D016,V016,H06,24/06/24 09:02,24/06/24 11:42,OnTime,25.98,4,0,4.84,27.38,2.67,0
DL00145,O00668,D155,V081,H06,11/07/25 00:42,11/07/25 05:33,OnTime,29.37,2,0,3.95,18.72,4.85,0
DL00146,O00058,D052,V094,H03,16/12/25 06:56,16/12/25 09:52,OnTime,22.04,0,0,4.37,6.16,2.93,1
DL00147,O01116,D123,V017,H06,13/11/24 14:46,13/11/24 19:29,OnTime,1.21,1,0,4.08,14.96,4.72,0
DL00148,O00817,D087,V120,H05,31/12/25 09:02,31/12/25 11:10,OnTime,16.75,1,0,4.04,15.84,2.13,1
DL00149,O00789,D024,V099,H08,11/12/24 13:03,11/12/24 17:56,OnTime,5.74,2,0,3.83,3.72,4.88,0
DL00150,O01164,D083,V042,H07,09/06/25 18:46,10/06/25 07:04,Delayed,10.43,0,0,2.83,10.61,12.3,1
DL00151,O00376,D131,V048,H03,21/01/25 09:34,21/01/25 19:14,OnTime,12.77,1,0,4.77,10.12,9.67,0
DL00152,O00146,D121,V047,H01,10/10/25 01:22,10/10/25 13:11,OnTime,3.02,0,0,4.71,8.34,11.82,0
DL00153,O00893,D115,V007,H01,05/08/24 08:55,06/08/24 02:10,OnTime,12.85,1,0,3.96,15.21,17.25,1
DL00154,O00071,D018,V110,H08,01/09/24 00:47,01/09/24 02:07,OnTime,7.04,1,0,4.2,5.23,1.33,1
DL00155,O00061,D048,V052,H02,12/07/24 03:31,12/07/24 08:43,OnTime,24.74,1,0,4.46,18.46,5.2,0
DL00156,O01086,D100,V085,H08,05/03/24 21:40,06/03/24 10:03,Delayed,31.74,2,0,2.18,17.62,12.38,1
DL00157,O01089,D144,V040,H06,18/05/25 05:27,18/05/25 08:03,OnTime,12.43,2,0,5.0,13.52,2.6,1
DL00158,O00643,D031,V072,H08,10/04/25 19:05,11/04/25 00:26,Delayed,29.34,3,0,3.8,15.45,5.35,1
DL00159,O00213,D120,V020,H05,05/12/24 20:07,06/12/24 08:13,OnTime,11.73,0,0,5.0,21.25,12.1,1
DL00160,O00874,D108,V085,H04,15/06/24 16:06,15/06/24 21:00,OnTime,16.67,1,0,5.0,9.13,4.9,0
DL00161,O00624,D055,V098,H01,13/04/25 04:37,14/04/25 05:10,OnTime,16.98,0,0,4.28,11.8,24.55,1
DL00162,O00854,D122,V071,H02,01/09/24 04:30,01/09/24 10:10,OnTime,25.94,0,0,4.84,11.4,5.67,1
DL00163,O01007,D121,V056,H07,24/09/24 08:50,25/09/24 09:30,Delayed,9.31,0,0,2.51,8.76,24.67,1
DL00164,O00066,D045,V120,H03,21/06/24 11:36,21/06/24 14:46,OnTime,17.31,0,0,3.9,17.53,3.17,0
DL00165,O00852,D006,V022,H03,13/07/25 18:06,14/07/25 04:22,Delayed,8.64,0,1,4.55,2.5,10.27,1
DL00166,O00904,D091,V017,H04,25/05/24 20:26,26/05/24 10:51,OnTime,24.07,0,0,2.08,13.51,14.42,1
DL00167,O00932,D116,V069,H08,01/10/24 07:37,01/10/24 19:14,OnTime,19.44,0,0,2.56,13.3,11.62,1
DL00168,O00126,D100,V066,H01,26/05/24 09:29,27/05/24 03:28,Delayed,30.51,2,0,4.3,18.34,17.98,1
DL00169,O00996,D037,V115,H07,26/04/25 07:29,26/04/25 07:46,OnTime,10.5,2,0,4.08,10.38,0.28,0
DL00170,O00363,D020,V093,H04,04/06/25 03:57,04/06/25 05:40,OnTime,10.59,0,0,4.07,10.74,1.72,0
DL00171,O01055,D096,V085,H07,13/08/25 19:47,13/08/25 23:52,OnTime,23.42,1,0,4.35,13.6,4.08,0
DL00172,O00127,D132,V106,H06,08/11/25 04:29,08/11/25 16:24,Delayed,13.58,2,1,4.36,11.2,11.92,1
DL00173,O00459,D131,V026,H08,28/11/25 08:52,29/11/25 15:17,Delayed,15.37,0,0,3.88,6.1,30.42,1
DL00174,O00162,D020,V066,H07,14/12/25 04:21,14/12/25 14:45,OnTime,9.9,2,0,4.18,9.86,10.4,0
DL00175,O00583,D036,V118,H03,17/04/25 21:40,18/04/25 00:57,OnTime,15.62,1,0,3.93,9.26,3.28,0
DL00176,O01200,D061,V116,H05,23/02/24 08:31,23/02/24 13:20,OnTime,16.02,0,0,4.36,16.67,4.82,0
DL00177,O00164,D123,V045,H01,23/03/24 14:11,24/03/24 11:34,OnTime,8.31,0,0,4.85,9.58,21.38,0
DL00178,O01166,D024,V052,H05,22/09/25 12:46,22/09/25 22:06,OnTime,13.01,2,1,3.36,6.79,9.33,1
DL00179,O00493,D016,V094,H08,20/05/24 04:07,20/05/24 19:35,Delayed,9.15,1,0,2.32,12.14,15.47,1
DL00180,O00137,D135,V054,H08,14/03/25 19:37,15/03/25 06:15,OnTime,19.65,0,0,4.25,14.94,10.63,0
DL00181,O00450,D073,V014,H02,25/08/24 23:47,25/08/24 23:58,OnTime,12.74,1,0,5.0,14.37,0.18,0
DL00182,O00096,D071,V102,H04,13/07/24 18:06,13/07/24 18:46,OnTime,7.62,0,0,4.64,14.41,0.67,0
DL00183,O00808,D049,V065,H05,06/09/24 07:26,06/09/24 12:08,OnTime,15.14,0,0,4.23,13.23,4.7,1
DL00184,O01005,D023,V096,H07,01/05/25 19:42,03/05/25 02:37,OnTime,13.78,0,0,2.96,13.86,30.92,1
DL00185,O01217,D008,V065,H01,26/01/24 00:13,26/01/24 11:26,OnTime,15.39,3,0,4.76,13.61,11.22,0
DL00186,O00798,D006,V081,H06,14/01/24 04:23,14/01/24 07:07,OnTime,14.26,1,0,4.91,4.79,2.73,0
DL00187,O00439,D111,V069,H05,05/03/24 22:08,06/03/24 15:17,OnTime,17.61,1,0,1.53,16.92,17.15,1
DL00188,O00739,D008,V075,H08,13/04/25 23:14,14/04/25 09:05,OnTime,5.37,0,0,5.0,5.73,9.85,0
DL00189,O01227,D011,V118,H06,05/11/24 11:52,05/11/24 18:23,OnTime,14.51,1,0,2.43,12.83,6.52,1
DL00190,O00875,D039,V003,H07,31/10/25 23:21,01/11/25 08:44,OnTime,2.25,0,0,4.79,7.74,9.38,0
DL00191,O00755,D161,V006,H08,21/08/25 05:02,21/08/25 12:04,OnTime,13.55,0,0,3.48,21.6,7.03,1
DL00192,O00118,D095,V112,H04,18/08/25 22:16,19/08/25 03:23,OnTime,14.13,0,0,4.64,16.49,5.12,0
DL00193,O00032,D017,V013,H08,16/09/25 00:28,15/09/25 23:38,OnTime,14.01,4,0,3.54,9.08,0.0,0
DL00194,O00422,D053,V110,H01,07/08/25 09:57,07/08/25 22:44,Delayed,8.77,2,0,2.58,9.97,12.78,1
DL00195,O00462,D162,V028,H06,03/03/25 20:56,04/03/25 07:39,Delayed,13.0,1,0,1.04,10.71,10.72,1
DL00196,O00469,D111,V009,H08,19/09/24 00:27,19/09/24 00:29,OnTime,13.83,1,0,3.85,12.41,0.03,0
DL00197,O00478,D163,V053,H02,21/04/25 00:07,21/04/25 01:03,OnTime,11.17,0,0,5.0,2.84,0.93,0
DL00198,O00465,D156,V111,H04,08/12/24 07:33,08/12/24 12:46,Delayed,8.01,0,0,3.38,10.98,5.22,1
DL00199,O00821,D086,V088,H05,25/01/25 03:15,25/01/25 08:28,OnTime,24.31,1,0,4.36,18.49,5.22,0
DL00200,O00406,D160,V106,H06,05/01/25 13:23,05/01/25 14:10,OnTime,31.46,2,0,4.38,16.38,0.78,0
DL00201,O00008,D036,V041,H03,03/04/24 20:22,03/04/24 20:46,OnTime,14.08,0,0,5.0,12.87,0.4,0
DL00202,O01057,D028,V054,H06,23/03/25 12:38,23/03/25 18:02,Delayed,19.31,2,0,3.67,17.41,5.4,1
DL00203,O00901,D107,V086,H08,08/12/25 09:18,08/12/25 16:36,Delayed,9.36,2,0,4.52,7.69,7.3,1
DL00204,O00025,D108,V062,H08,10/01/25 22:15,11/01/25 05:19,OnTime,11.32,1,0,4.64,15.67,7.07,1
DL00205,O00375,D039,V024,H03,17/09/24 23:26,18/09/24 02:13,OnTime,7.16,3,0,4.17,12.58,2.78,0
DL00206,O00634,D045,V107,H02,07/07/24 14:19,07/07/24 17:45,OnTime,17.47,1,0,4.49,15.56,3.43,0
DL00207,O01035,D121,V114,H04,17/03/24 00:24,17/03/24 06:31,OnTime,18.52,1,0,4.4,11.28,6.12,1
DL00208,O00964,D087,V018,H01,13/04/24 03:27,13/04/24 22:30,OnTime,21.73,0,1,3.09,13.36,19.05,1
DL00209,O01154,D057,V107,H06,05/09/24 16:29,,CANCELLED,11.22,1,0,4.31,13.88,,0
DL00210,O01191,D142,V016,H02,19/02/24 19:24,19/02/24 23:40,Delayed,16.24,3,0,3.43,13.43,4.27,1
DL00211,O01017,D102,V006,H08,30/12/25 15:47,30/12/25 19:01,OnTime,12.39,1,0,4.57,13.18,3.23,0
DL00212,O01105,D142,V041,H01,18/06/25 18:46,19/06/25 18:15,Delayed,13.85,1,1,4.29,11.45,23.48,1
