order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag
O00021,C0218,PASSENGER,16/10/24 11:25,2,WEST,NORTH,MEDIUM,49.99,WEB,0
O00022,C0594,RETAIL,20/04/25 20:56,12,RIVERSIDE,CENTRAL,MEDIUM,134.88,PHONE,0
O00023,C0077,PASSENGER,10/05/25 04:59,4,NORTH,NORTH,MEDIUM,122.25,APP,0
O00024,C0397,PASSENGER,10/10/24 05:01,6,SOUTH,RIVERSIDE,HIGH,132.2,APP,1
O00025,C0297,PASSENGER,01/10/25 21:51,6,NORTH,RIVERSIDE,CRITICAL,66.51,APP,0
O00026,C0193,PARCEL,11/10/25 22:22,24,EAST,WEST,HIGH,51.09,APP,0
O00027,C0024,PARCEL,26/02/25 00:42,4,RIVERSIDE,NORTH,MEDIUM,96.62,APP,0
O00028,C0160,RETAIL,21/12/25 22:29,4,NORTH,SOUTH,HIGH,59.44,APP,0
O00029,C0366,MEDICAL,09/11/24 12:22,24,EAST,CENTRAL,MEDIUM,190.94,WEB,0
O00030,C0406,MEDICAL,10/05/25 03:11,12,NORTH,EAST,LOW,44.84,APP,0
O00031,C0573,PASSENGER,25/10/24 03:17,24,EAST,AIRPORT,MEDIUM,55.14,APP,0
O00032,C0297,PASSENGER,15/09/25 23:14,1,CENTRAL,EAST,MEDIUM,126.43,APP,1
O00033,C0471,RETAIL,30/12/25 21:02,6,NORTH,EAST,LOW,36.7,PHONE,1
O00034,C0023,RETAIL,18/02/25 01:38,2,NORTH,SOUTH,LOW,40.88,APP,0
O00035,C0524,BUSINESS,14/06/24 13:12,4,NORTH,CENTRAL,MEDIUM,209.07,WEB,0
O00036,C0126,PARCEL,11/06/24 04:24,4,RIVERSIDE,NORTH,MEDIUM,73.14,APP,0
O00037,C0015,RETAIL,02/10/24 17:19,24,EAST,AIRPORT,LOW,119.31,PHONE,0
O00038,C0142,RETAIL,10/06/25 20:11,2,RIVERSIDE,EAST,MEDIUM,168.48,PHONE,0
O00039,C0351,PARCEL,08/01/25 07:36,6,EAST,RIVERSIDE,LOW,54.85,WEB,1
O00040,C0014,PARCEL,24/05/25 22:33,1,NORTH,AIRPORT,LOW,74.65,APP,0
O00041,C0243,RETAIL,17/09/24 13:42,12,RIVERSIDE,WEST,LOW,19.15,APP,0
O00042,C0606,RETAIL,12/01/25 18:22,24,RIVERSIDE,CENTRAL,MEDIUM,133.72,PHONE,1
O00043,C0416,RETAIL,01/01/24 03:53,12,EAST,RIVERSIDE,MEDIUM,48.59,API,0
O00044,C0227,BUSINESS,11/02/25 09:57,4,WEST,RIVERSIDE,MEDIUM,61.45,PHONE,1
O00045,C0326,PARCEL,13/02/24 18:38,6,SOUTH,AIRPORT,CRITICAL,56.64,UNKNOWN,0
O00046,C0538,PARCEL,13/12/25 01:15,4,NORTH,CENTRAL,HIGH,85.48,APP,0
O00047,C0220,MEDICAL,28/11/25 03:02,2,WEST,NORTH,MEDIUM,39.57,APP,0
O00048,C0145,MEDICAL,22/11/24 06:49,4,RIVERSIDE,NORTH,LOW,43.37,APP,0
O00049,C0380,PASSENGER,19/12/24 23:58,2,WEST,SOUTH,LOW,66.46,PHONE,1
O00050,C0544,PASSENGER,29/03/24 13:44,1,NORTH,CENTRAL,LOW,33.93,APP,0
O00051,C0185,BUSINESS,02/07/25 23:39,12,AIRPORT,EAST,CRITICAL,14.48,WEB,1
O00052,C0150,RETAIL,14/08/24 08:33,12,NORTH,RIVERSIDE,MEDIUM,293.65,API,0
O00053,C0054,PARCEL,04/02/24 11:27,24,EAST,EAST,LOW,73.56,APP,0
O00054,C0478,MEDICAL,29/03/25 10:44,4,NORTH,NORTH,LOW,54.41,WEB,0
O00055,C0454,RETAIL,30/05/25 23:44,2,AIRPORT,RIVERSIDE,MEDIUM,73.7,APP,0
O00056,C0271,PARCEL,10/05/25 20:28,4,SOUTH,CENTRAL,HIGH,160.35,WEB,0
O00057,C0226,BUSINESS,06/04/25 01:43,4,EAST,NORTH,MEDIUM,194.03,APP,0
O00058,C0083,PASSENGER,16/12/25 06:27,2,SOUTH,EAST,CRITICAL,51.95,WEB,0
O00059,C0640,PASSENGER,20/11/25 16:54,2,CENTRAL,AIRPORT,MEDIUM,20.32,WEB,0
O00060,C0258,MEDICAL,05/10/24 15:48,6,NORTH,EAST,CRITICAL,37.52,WEB,0
O00061,C0289,PASSENGER,07/12/24 01:44,6,AIRPORT,NORTH,HIGH,238.9,WEB,1
O00062,C0177,PASSENGER,26/07/25 08:11,4,WEST,AIRPORT,MEDIUM,45.44,WEB,0
O00063,C0168,RETAIL,13/07/25 05:49,12,SOUTH,AIRPORT,LOW,57.56,APP,0
O00064,C0346,BUSINESS,14/10/25 07:34,12,CENTRAL,RIVERSIDE,HIGH,45.43,APP,0
O00065,C0285,PARCEL,23/09/24 07:03,4,SOUTH,WEST,HIGH,61.59,APP,0
O00066,C0421,PASSENGER,21/06/24 11:22,4,SOUTH,EAST,LOW,237.58,APP,0
O00067,C0339,PASSENGER,25/02/25 02:12,6,WEST,WEST,CRITICAL,131.1,WEB,0
O00068,C0084,PARCEL,13/10/25 09:08,2,RIVERSIDE,EAST,MEDIUM,40.58,APP,0
O00069,C0369,PASSENGER,19/05/24 21:45,12,AIRPORT,RIVERSIDE,MEDIUM,103.29,PHONE,1
O00070,C0125,RETAIL,13/05/25 21:30,4,CENTRAL,AIRPORT,LOW,165.63,APP,0
O00071,C0109,MEDICAL,31/08/24 22:15,1,NORTH,SOUTH,LOW,157.58,PHONE,0
O00072,C0060,MEDICAL,01/07/24 16:44,2,WEST,RIVERSIDE,MEDIUM,7.32,APP,0
O00073,C0331,PASSENGER,31/03/25 04:59,4,CENTRAL,SOUTH,HIGH,30.82,APP,0
O00074,C0644,PARCEL,18/10/25 11:44,6,RIVERSIDE,RIVERSIDE,CRITICAL,20.6,APP,0
O00075,C0026,BUSINESS,11/02/24 04:56,2,NORTH,EAST,MEDIUM,85.65,WEB,0
O00076,C0075,RETAIL,25/12/25 04:37,4,CENTRAL,RIVERSIDE,LOW,100.62,PHONE,0
O00077,C0543,MEDICAL,30/07/25 07:21,4,RIVERSIDE,CENTRAL,LOW,150.98,APP,0
O00078,C0434,PARCEL,10/06/25 03:35,6,WEST,RIVERSIDE,MEDIUM,94.04,APP,0
O00079,C0353,PARCEL,03/10/25 05:43,2,WEST,AIRPORT,MEDIUM,48.85,APP,0
O00080,C0082,PARCEL,13/11/25 04:38,4,SOUTH,SOUTH,MEDIUM,135.71,APP,0
O00081,C0004,PASSENGER,17/04/25 12:53,6,WEST,AIRPORT,LOW,208.38,APP,0
O00082,C0531,RETAIL,30/07/24 03:44,12,CENTRAL,WEST,MEDIUM,36.55,APP,0
O00083,C0215,MEDICAL,23/10/24 00:23,2,AIRPORT,SOUTH,LOW,127.88,APP,0
O00084,C0103,PASSENGER,13/05/25 06:02,4,WEST,NORTH,HIGH,157.73,PHONE,1
O00085,C0505,PASSENGER,03/02/24 08:19,4,NORTH,RIVERSIDE,LOW,23.13,APP,0
O00086,C0255,PASSENGER,20/07/24 03:44,4,CENTRAL,AIRPORT,HIGH,66.09,APP,0
O00087,C0476,BUSINESS,11/12/24 14:07,4,SOUTH,NORTH,CRITICAL,56.73,PHONE,0
O00088,C0157,MEDICAL,14/06/24 10:28,24,RIVERSIDE,EAST,LOW,101.67,APP,0
O00089,C0339,MEDICAL,24/04/25 18:23,6,SOUTH,NORTH,HIGH,52.58,WEB,1
O00090,C0490,BUSINESS,23/10/24 05:35,4,RIVERSIDE,SOUTH,MEDIUM,86.48,APP,0
O00091,C0564,PARCEL,14/03/24 01:00,6,WEST,AIRPORT,CRITICAL,43.61,WEB,0
O00092,C0268,RETAIL,24/04/25 15:05,6,SOUTH,EAST,MEDIUM,56.53,WEB,0
O00093,C0083,BUSINESS,12/05/24 23:36,4,CENTRAL,WEST,LOW,184.11,WEB,0
O00094,C0361,PARCEL,27/09/24 03:41,6,AIRPORT,NORTH,MEDIUM,62.08,PHONE,0
O00095,C0378,MEDICAL,15/05/25 13:31,24,SOUTH,NORTH,LOW,103.06,APP,0
O00096,C0441,BUSINESS,13/07/24 17:20,2,NORTH,WEST,CRITICAL,153.48,WEB,0
O00097,C0303,PARCEL,01/09/24 11:58,24,AIRPORT,AIRPORT,MEDIUM,72.64,APP,1
O00098,C0586,PASSENGER,04/03/24 20:18,1,NORTH,SOUTH,MEDIUM,79.53,PHONE,0
O00099,C0079,RETAIL,10/04/25 19:59,12,AIRPORT,EAST,LOW,75.64,APP,0
O00100,C0300,PASSENGER,30/10/25 22:16,6,RIVERSIDE,NORTH,MEDIUM,23.64,WEB,0
O00101,C0633,PARCEL,30/10/25 07:05,24,WEST,WEST,LOW,42.02,APP,0
O00102,C0253,PASSENGER,21/05/24 23:01,2,CENTRAL,NORTH,HIGH,146.42,APP,0
O00103,C0456,BUSINESS,26/01/24 12:53,12,SOUTH,WEST,LOW,77.37,APP,0
O00104,C0395,PASSENGER,28/05/24 09:23,4,EAST,CENTRAL,MEDIUM,34.3,WEB,0
O00105,C0070,PASSENGER,07/09/24 20:33,4,NORTH,EAST,HIGH,18.19,WEB,0
O00106,C0065,BUSINESS,29/11/25 05:06,6,EAST,RIVERSIDE,LOW,68.37,APP,0
O00107,C0205,MEDICAL,13/11/24 23:39,2,RIVERSIDE,CENTRAL,LOW,182.35,APP,0
O00108,C0046,MEDICAL,30/11/24 12:11,12,WEST,EAST,MEDIUM,70.18,APP,0
O00109,C0427,MEDICAL,24/10/25 11:20,4,WEST,EAST,MEDIUM,9.68,APP,0
O00110,C0446,PASSENGER,23/08/24 11:08,4,CENTRAL,SOUTH,LOW,72.23,APP,0
O00111,C0521,RETAIL,18/07/25 11:53,24,EAST,CENTRAL,MEDIUM,52.06,WEB,0
O00112,C0051,PASSENGER,16/09/24 07:03,2,CENTRAL,WEST,MEDIUM,86.44,APP,0
O00113,C0640,BUSINESS,02/12/24 03:36,2,EAST,NORTH,HIGH,113.54,APP,0
O00114,C0144,BUSINESS,10/05/25 22:25,12,SOUTH,RIVERSIDE,HIGH,15.52,APP,1
O00115,C0157,PASSENGER,21/02/24 06:31,6,EAST,NORTH,HIGH,256.93,WEB,0
O00116,C0452,PASSENGER,03/09/25 15:46,4,NORTH,AIRPORT,LOW,56.59,API,0
O00117,C0516,PASSENGER,06/10/24 09:38,12,EAST,SOUTH,MEDIUM,87.81,PHONE,0
O00118,C0087,RETAIL,18/08/25 20:05,6,SOUTH,SOUTH,MEDIUM,74.68,APP,0
O00119,C0229,MEDICAL,25/05/24 22:14,4,NORTH,NORTH,LOW,66.42,APP,0
O00120,C0182,PASSENGER,16/06/24 04:28,6,AIRPORT,NORTH,MEDIUM,85.27,PHONE,1
O00121,C0604,PARCEL,14/10/25 12:05,6,EAST,NORTH,MEDIUM,75.67,APP,1
O00122,C0597,MEDICAL,02/10/24 14:30,1,RIVERSIDE,NORTH,MEDIUM,27.55,APP,0
O00123,C0649,RETAIL,14/07/24 06:46,2,WEST,EAST,HIGH,21.55,APP,0
O00124,C0481,PASSENGER,16/01/25 00:02,24,CENTRAL,AIRPORT,LOW,34.31,WEB,1
O00125,C0191,RETAIL,17/09/25 16:27,24,WEST,SOUTH,MEDIUM,70.05,APP,0
O00126,C0146,PARCEL,26/05/24 09:04,12,AIRPORT,SOUTH,MEDIUM,55.22,WEB,0
O00127,C0572,PARCEL,11/08/25 01:32,2,EAST,NORTH,MEDIUM,171.31,APP,0
O00128,C0611,MEDICAL,28/12/25 13:56,24,AIRPORT,AIRPORT,MEDIUM,136.66,APP,0
O00129,C0538,RETAIL,12/12/24 02:28,12,CENTRAL,NORTH,HIGH,63.08,PHONE,0
O00130,C0259,PASSENGER,01/10/24 21:52,6,CENTRAL,AIRPORT,MEDIUM,77.97,APP,0
O00131,C0478,RETAIL,29/06/24 23:10,24,EAST,WEST,MEDIUM,14.11,APP,0
O00132,C0224,PASSENGER,22/01/25 09:00,2,CENTRAL,CENTRAL,MEDIUM,11.07,APP,0
O00133,C0365,PASSENGER,29/03/25 18:43,24,AIRPORT,NORTH,MEDIUM,128.19,API,1
O00134,C0010,PARCEL,22/12/24 18:12,4,SOUTH,WEST,CRITICAL,23.34,APP,0
O00135,C0364,PASSENGER,25/04/25 02:34,24,RIVERSIDE,NORTH,LOW,118.96,APP,0
O00136,C0413,MEDICAL,27/11/24 16:29,1,NORTH,SOUTH,HIGH,20.82,APP,0
O00137,C0295,PARCEL,14/03/25 17:58,12,EAST,SOUTH,HIGH,81.5,APP,0
O00138,C0149,BUSINESS,10/02/25 04:25,2,SOUTH,AIRPORT,MEDIUM,99.38,PHONE,0
O00139,C0545,RETAIL,15/09/25 19:05,2,WEST,AIRPORT,HIGH,4.22,WEB,0
O00140,C0621,PASSENGER,03/02/24 23:43,4,NORTH,NORTH,LOW,89.5,APP,0
O00141,C0605,BUSINESS,12/05/24 19:42,1,NORTH,SOUTH,HIGH,83.09,WEB,0
O00142,C0628,RETAIL,31/10/24 18:36,12,CENTRAL,AIRPORT,HIGH,83.93,API,0
O00143,C0545,PASSENGER,03/07/25 11:30,24,CENTRAL,CENTRAL,MEDIUM,69.38,APP,0
O00144,C0063,BUSINESS,11/03/25 20:08,4,RIVERSIDE,CENTRAL,HIGH,288.86,APP,0
O00145,C0595,BUSINESS,11/02/24 10:33,12,NORTH,RIVERSIDE,MEDIUM,35.95,APP,0
O00146,C0168,PASSENGER,10/10/25 00:54,12,EAST,SOUTH,MEDIUM,14.05,WEB,0
O00147,C0096,RETAIL,07/12/24 07:43,6,NORTH,WEST,CRITICAL,32.27,APP,0
O00148,C0401,MEDICAL,04/03/25 22:05,2,EAST,EAST,HIGH,86.3,PHONE,0
O00149,C0289,BUSINESS,30/05/24 21:37,4,WEST,NORTH,HIGH,31.06,APP,0
O00150,C0246,BUSINESS,15/01/25 17:37,6,WEST,RIVERSIDE,MEDIUM,136.44,WEB,0
O00151,C0446,RETAIL,03/02/25 11:33,4,WEST,EAST,MEDIUM,179.57,WEB,0
O00152,C0239,RETAIL,09/03/24 18:28,24,EAST,NORTH,MEDIUM,139.65,WEB,0
O00153,C0378,PARCEL,02/09/25 08:07,24,NORTH,AIRPORT,LOW,33.01,WEB,0
O00154,C0535,BUSINESS,20/08/24 05:56,12,NORTH,AIRPORT,LOW,105.88,WEB,1
O00155,C0039,RETAIL,26/07/24 17:47,24,SOUTH,CENTRAL,LOW,155.77,PHONE,0
O00156,C0035,PARCEL,24/04/24 07:55,6,WEST,NORTH,MEDIUM,68.58,WEB,1
O00157,C0513,BUSINESS,16/09/24 20:06,2,AIRPORT,NORTH,LOW,60.52,API,0
O00158,C0620,BUSINESS,07/11/24 16:42,24,CENTRAL,WEST,HIGH,67.81,PHONE,0
O00159,C0505,PARCEL,14/09/24 22:31,12,NORTH,SOUTH,LOW,105.17,API,0
O00160,C0478,PARCEL,20/08/24 17:29,6,CENTRAL,EAST,HIGH,68.1,WEB,0
O00161,C0025,PARCEL,19/08/24 17:36,12,SOUTH,AIRPORT,HIGH,123.09,PHONE,0
O00162,C0476,BUSINESS,14/12/25 03:47,12,SOUTH,CENTRAL,MEDIUM,139.13,APP,0
O00163,C0583,PARCEL,06/09/25 18:36,4,CENTRAL,NORTH,LOW,67.97,PHONE,1
O00164,C0622,PARCEL,23/03/24 13:43,24,SOUTH,CENTRAL,LOW,211.8,APP,0
O00165,C0275,RETAIL,16/03/24 14:08,24,NORTH,CENTRAL,LOW,122.59,APP,0
O00166,C0517,PASSENGER,30/05/25 17:32,4,EAST,SOUTH,MEDIUM,76.66,APP,0
O00167,C0325,MEDICAL,27/04/24 20:46,24,EAST,EAST,MEDIUM,24.78,API,0
O00168,C0464,PARCEL,06/11/25 03:29,6,CENTRAL,RIVERSIDE,HIGH,115.35,WEB,0
O00169,C0399,RETAIL,12/03/25 12:34,4,EAST,NORTH,MEDIUM,84.09,APP,1
O00170,C0005,BUSINESS,24/06/24 06:36,4,AIRPORT,AIRPORT,HIGH,58.3,APP,1
O00171,C0447,PARCEL,05/01/25 02:08,1,AIRPORT,AIRPORT,CRITICAL,63.41,APP,0
O00172,C0343,PASSENGER,17/01/25 19:03,4,EAST,WEST,HIGH,108.19,APP,0
O00173,C0371,PASSENGER,18/02/25 07:03,2,CENTRAL,CENTRAL,CRITICAL,249.32,APP,1
O00174,C0537,PASSENGER,16/01/25 01:00,4,CENTRAL,NORTH,LOW,19.65,WEB,0
O00175,C0562,BUSINESS,19/12/25 19:13,4,RIVERSIDE,WEST,HIGH,150.9,APP,0
O00176,C0479,RETAIL,15/04/25 09:07,4,CENTRAL,CENTRAL,MEDIUM,14.76,PHONE,0
O00177,C0477,PASSENGER,25/12/25 04:27,6,NORTH,WEST,LOW,109.36,WEB,0
O00178,C0287,MEDICAL,30/03/24 19:55,4,EAST,SOUTH,LOW,55.9,APP,0
O00179,C0343,PARCEL,25/07/24 18:07,12,CENTRAL,RIVERSIDE,MEDIUM,52.96,WEB,1
O00180,C0615,PARCEL,29/12/24 05:23,24,CENTRAL,NORTH,LOW,54.32,PHONE,0
O00181,C0252,RETAIL,15/12/24 23:43,2,AIRPORT,AIRPORT,CRITICAL,108.19,API,1
O00182,C0258,PASSENGER,01/12/24 08:07,2,WEST,WEST,MEDIUM,109.03,WEB,0
O00183,C0102,BUSINESS,09/02/24 11:32,4,SOUTH,RIVERSIDE,CRITICAL,11.5,APP,0
O00184,C0394,PARCEL,21/06/25 11:46,2,CENTRAL,RIVERSIDE,MEDIUM,51.44,API,0
O00185,C0482,RETAIL,15/05/25 01:52,24,EAST,CENTRAL,LOW,62.26,WEB,0
O00186,C0007,PARCEL,09/10/25 11:06,1,EAST,WEST,LOW,7.45,API,0
O00187,C0070,MEDICAL,30/12/24 17:20,12,SOUTH,EAST,MEDIUM,49.72,APP,0
O00188,C0558,PASSENGER,09/09/25 03:02,4,RIVERSIDE,CENTRAL,MEDIUM,138.45,APP,1
O00189,C0388,PARCEL,22/11/25 07:16,4,NORTH,NORTH,LOW,14.46,APP,0
O00190,C0622,PARCEL,28/12/24 06:44,1,SOUTH,NORTH,MEDIUM,31.72,PHONE,0
O00191,C0641,PARCEL,04/02/25 00:53,12,CENTRAL,NORTH,MEDIUM,151.09,PHONE,1
O00192,C0404,RETAIL,18/08/25 14:07,24,CENTRAL,NORTH,HIGH,83.79,APP,1
O00193,C0114,BUSINESS,22/01/24 15:07,4,EAST,CENTRAL,MEDIUM,202.67,APP,1
O00194,C0191,PASSENGER,16/03/24 08:11,1,CENTRAL,RIVERSIDE,LOW,92.07,WEB,1
O00195,C0404,RETAIL,06/02/24 17:59,12,CENTRAL,EAST,MEDIUM,18.03,APP,1
O00196,C0314,RETAIL,23/10/24 21:42,6,CENTRAL,CENTRAL,HIGH,151.74,APP,0
O00197,C0420,RETAIL,24/01/25 04:37,2,NORTH,EAST,MEDIUM,175.96,PHONE,0
O00198,C0487,PARCEL,13/09/24 17:44,2,WEST,CENTRAL,LOW,21.51,WEB,0
O00199,C0595,RETAIL,10/02/24 14:00,12,NORTH,NORTH,HIGH,62.65,UNKNOWN,0
O00200,C0060,PASSENGER,26/01/24 10:09,4,CENTRAL,RIVERSIDE,HIGH,94.52,UNKNOWN,0
O00201,C0486,PASSENGER,13/05/25 16:30,4,NORTH,SOUTH,MEDIUM,118.29,WEB,0
O00202,C0449,PASSENGER,02/02/24 01:04,1,SOUTH,WEST,LOW,20.68,WEB,0
O00203,C0336,BUSINESS,07/05/24 19:52,6,CENTRAL,AIRPORT,HIGH,84.76,WEB,0
O00204,C0355,PASSENGER,22/10/25 21:38,12,AIRPORT,WEST,HIGH,61.59,APP,0
O00205,C0246,PARCEL,02/05/25 15:10,6,NORTH,SOUTH,MEDIUM,63.36,APP,1
O00206,C0255,PARCEL,12/10/25 14:25,4,SOUTH,EAST,LOW,20.86,APP,1
O00207,C0023,BUSINESS,22/08/24 19:33,6,CENTRAL,RIVERSIDE,MEDIUM,80.33,APP,0
O00208,C0359,PASSENGER,18/03/24 11:21,2,WEST,RIVERSIDE,HIGH,90.19,PHONE,1
O00209,C0201,RETAIL,24/06/25 06:19,4,AIRPORT,RIVERSIDE,CRITICAL,178.55,APP,1
O00210,C0347,PARCEL,14/05/24 18:39,4,EAST,WEST,HIGH,106.23,PHONE,0
O00211,C0488,BUSINESS,14/02/24 06:10,6,AIRPORT,EAST,MEDIUM,43.29,APP,1
O00212,C0121,PARCEL,01/04/25 23:29,4,EAST,CENTRAL,HIGH,128.36,API,0
O00213,C0512,PARCEL,12/05/24 18:29,12,WEST,RIVERSIDE,LOW,161.85,PHONE,1
O00214,C0088,BUSINESS,02/01/25 11:20,2,EAST,EAST,HIGH,102.83,APP,0
O00215,C0341,BUSINESS,01/07/24 10:37,1,WEST,WEST,MEDIUM,84.03,PHONE,1
O00216,C0629,RETAIL,05/10/25 10:14,4,NORTH,WEST,CRITICAL,220.83,UNKNOWN,0
O00217,C0331,RETAIL,22/01/24 07:29,24,AIRPORT,AIRPORT,MEDIUM,40.42,PHONE,1
O00218,C0154,PASSENGER,15/09/25 01:40,2,NORTH,WEST,CRITICAL,77.97,APP,0
O00219,C0421,PASSENGER,29/05/24 23:42,2,EAST,SOUTH,MEDIUM,62.84,APP,0
O00220,C0428,MEDICAL,27/05/24 08:24,6,CENTRAL,WEST,LOW,136.63,PHONE,0
O00221,C0298,PARCEL,10/06/24 02:32,12,SOUTH,AIRPORT,MEDIUM,16.07,PHONE,0
O00222,C0266,PARCEL,25/09/24 11:36,4,RIVERSIDE,WEST,HIGH,27.35,PHONE,0
O00223,C0172,RETAIL,08/10/25 16:37,4,CENTRAL,AIRPORT,HIGH,178.85,WEB,0
O00224,C0045,PARCEL,22/05/24 22:02,24,NORTH,CENTRAL,HIGH,46.15,APP,1
O00225,C0290,RETAIL,28/07/25 03:55,1,RIVERSIDE,RIVERSIDE,MEDIUM,25.8,UNKNOWN,0
O00226,C0292,PARCEL,23/07/24 13:40,24,EAST,NORTH,MEDIUM,63.79,APP,0
O00227,C0174,BUSINESS,08/08/25 20:06,4,AIRPORT,NORTH,MEDIUM,21.79,APP,0
O00228,C0242,PARCEL,01/06/25 09:50,6,EAST,AIRPORT,HIGH,87.21,WEB,0
O00229,C0335,PASSENGER,31/08/24 04:43,6,CENTRAL,RIVERSIDE,MEDIUM,33.48,APP,0
O00230,C0533,PASSENGER,14/03/24 09:48,1,CENTRAL,NORTH,LOW,25.84,APP,1
O00231,C0250,PASSENGER,15/12/24 23:23,6,EAST,SOUTH,LOW,69.44,UNKNOWN,0
O00232,C0533,RETAIL,06/05/25 20:15,6,RIVERSIDE,CENTRAL,MEDIUM,122.94,API,1
O00233,C0252,PARCEL,24/12/24 17:45,1,RIVERSIDE,SOUTH,HIGH,100.64,PHONE,1
O00234,C0145,PARCEL,19/02/25 10:03,6,SOUTH,RIVERSIDE,LOW,42.01,WEB,0
O00235,C0502,RETAIL,22/12/25 10:42,2,CENTRAL,CENTRAL,MEDIUM,27.53,PHONE,0
O00236,C0429,BUSINESS,26/11/24 15:32,2,EAST,SOUTH,MEDIUM,118.24,APP,0
O00237,C0431,PARCEL,01/11/25 07:51,24,RIVERSIDE,SOUTH,LOW,19.51,WEB,0
O00238,C0141,PARCEL,28/08/24 11:09,4,SOUTH,WEST,CRITICAL,192.22,PHONE,1
O00239,C0399,PARCEL,18/05/24 06:00,4,CENTRAL,CENTRAL,LOW,31.43,APP,0
O00240,C0289,PASSENGER,18/11/25 14:25,2,EAST,AIRPORT,LOW,71.85,APP,0
O00241,C0117,PARCEL,04/01/25 12:36,2,WEST,NORTH,LOW,99.3,APP,1
O00242,C0587,RETAIL,11/05/24 05:37,1,CENTRAL,WEST,HIGH,42.77,APP,0
O00243,C0153,PASSENGER,03/08/24 04:19,6,SOUTH,WEST,LOW,64.73,PHONE,0
O00244,C0519,PASSENGER,11/11/24 08:46,1,NORTH,RIVERSIDE,MEDIUM,225.95,API,0
O00245,C0096,PARCEL,08/08/25 17:42,4,SOUTH,SOUTH,LOW,21.06,APP,1
O00246,C0023,PARCEL,14/12/24 02:58,4,EAST,RIVERSIDE,MEDIUM,68.11,WEB,0
O00247,C0613,PARCEL,13/07/24 18:59,4,EAST,SOUTH,HIGH,124.3,APP,0
O00248,C0153,PASSENGER,22/03/24 18:11,4,SOUTH,AIRPORT,MEDIUM,16.18,PHONE,0
O00249,C0566,BUSINESS,11/07/24 18:22,2,CENTRAL,WEST,CRITICAL,218.68,APP,0
O00250,C0300,PASSENGER,24/04/25 11:49,24,CENTRAL,NORTH,MEDIUM,9.42,APP,0
O00251,C0581,PARCEL,12/07/25 13:46,1,RIVERSIDE,SOUTH,MEDIUM,42.45,APP,0
O00252,C0232,PARCEL,03/10/24 15:20,1,EAST,NORTH,LOW,66.88,PHONE,0
O00253,C0543,RETAIL,28/06/24 08:57,4,CENTRAL,WEST,HIGH,144.86,WEB,0
O00254,C0097,PARCEL,20/09/24 17:01,4,NORTH,WEST,MEDIUM,115.81,APP,0
O00255,C0225,RETAIL,17/06/24 20:17,12,SOUTH,CENTRAL,CRITICAL,139.77,PHONE,0
O00256,C0564,RETAIL,30/08/24 22:01,6,NORTH,NORTH,HIGH,131.08,APP,0
O00257,C0128,PASSENGER,08/11/24 01:25,6,SOUTH,NORTH,CRITICAL,87.95,PHONE,1
O00258,C0107,BUSINESS,04/03/25 06:57,4,CENTRAL,WEST,LOW,98.81,APP,0
