incident_id,delivery_id,incident_type,reported_at,severity,resolution_status,resolved_hours
I0062,DL00481,TEMPERATUREISSUE,14/03/24 18:27,LOW,CLOSED,23.5
I0063,DL00669,ROUTEDEVIATION,06/01/25 06:53,LOW,OPEN,0.0
I0064,DL00366,CUSTOMERNOSHOW,24/07/25 05:26,MEDIUM,CLOSED,18.6
I0065,DL00435,PROOFMISSING,13/09/24 19:32,LOW,CLOSED,10.3
I0066,DL00042,ROUTEDEVIATION,10/04/24 02:46,LOW,CLOSED,28.0
I0067,DL00096,VEHICLEFAULT,18/03/25 18:01,MEDIUM,CLOSED,2.9
I0068,DL00799,CUSTOMERNOSHOW,25/04/24 20:37,LOW,OPEN,0.0
I0069,DL00592,TEMPERATUREISSUE,19/01/24 20:43,MEDIUM,CLOSED,9.0
I0070,DL00250,CUSTOMERNOSHOW,27/08/24 18:10,LOW,OPEN,0.0
I0071,DL00672,PROOFMISSING,27/05/25 14:37,CRITICAL,CLOSED,8.2
I0072,DL00503,VEHICLEFAULT,15/03/24 01:30,MEDIUM,CLOSED,1.4
I0073,DL00725,ROUTEDEVIATION,29/11/25 02:34,HIGH,OPEN,0.0
I0074,DL00256,APPSYNCERROR,22/01/25 16:01,MEDIUM,PENDINGVENDOR,0.0
I0075,DL00568,PROOFMISSING,11/11/24 10:10,LOW,CLOSED,4.5
I0076,DL00382,ROUTEDEVIATION,12/05/24 22:19,MEDIUM,CLOSED,3.0
I0077,DL00455,PROOFMISSING,04/12/24 09:41,MEDIUM,CLOSED,14.2
I0078,DL00562,BATTERYALERT,14/12/24 13:04,LOW,CLOSED,4.7
I0079,DL00187,PROOFMISSING,03/05/24 23:18,HIGH,OPEN,0.0
I0080,DL00336,PROOFMISSING,21/02/25 18:38,CRITICAL,OPEN,0.0
I0081,DL00224,APPSYNCERROR,20/01/25 04:36,HIGH,CLOSED,20.3
I0082,DL00131,BATTERYALERT,07/05/25 13:14,HIGH,ESCALATED,0.0
I0083,DL00820,PROOFMISSING,13/12/24 20:29,HIGH,PENDINGVENDOR,0.0
I0084,DL00478,TEMPERATUREISSUE,31/01/24 20:03,HIGH,PENDINGVENDOR,0.0
I0085,DL00928,ROUTEDEVIATION,31/10/25 01:01,LOW,PENDINGVENDOR,0.0
I0086,DL00247,CUSTOMERNOSHOW,31/12/24 14:48,LOW,PENDINGVENDOR,0.0
I0087,DL00148,PROOFMISSING,31/12/25 11:28,MEDIUM,OPEN,0.0
I0088,DL00348,PROOFMISSING,10/08/24 02:28,HIGH,ESCALATED,0.0
I0089,DL00915,ROUTEDEVIATION,28/11/24 15:09,HIGH,CLOSED,13.8
I0090,DL00576,PROOFMISSING,17/11/24 03:39,HIGH,CLOSED,2.6
I0091,DL00239,TEMPERATUREISSUE,14/08/24 09:11,MEDIUM,CLOSED,23.1
I0092,DL00847,PROOFMISSING,22/12/24 20:55,HIGH,OPEN,0.0
I0093,DL00056,APPSYNCERROR,22/10/24 23:20,MEDIUM,PENDINGVENDOR,0.0
I0094,DL00887,CUSTOMERNOSHOW,06/10/25 00:31,HIGH,PENDINGVENDOR,0.0
I0095,DL00317,PROOFMISSING,15/12/24 15:29,LOW,CLOSED,7.9
I0096,DL00748,CUSTOMERNOSHOW,30/05/25 04:50,LOW,PENDINGVENDOR,0.0
I0097,DL00629,CUSTOMERNOSHOW,23/05/24 09:17,MEDIUM,CLOSED,0.2
I0098,DL00810,TEMPERATUREISSUE,03/09/25 18:58,CRITICAL,PENDINGVENDOR,0.0
I0099,DL00309,VEHICLEFAULT,29/06/24 01:41,CRITICAL,OPEN,0.0
I0100,DL00306,CUSTOMERNOSHOW,15/12/24 22:19,HIGH,CLOSED,0.4
I0101,DL00578,VEHICLEFAULT,21/02/24 09:51,LOW,PENDINGVENDOR,0.0
I0102,DL00857,VEHICLEFAULT,29/10/25 19:52,CRITICAL,PENDINGVENDOR,0.0
I0103,DL00655,PROOFMISSING,09/10/25 04:24,LOW,CLOSED,41.7
I0104,DL00094,APPSYNCERROR,26/05/25 23:23,MEDIUM,OPEN,0.0
I0105,DL00913,CUSTOMERNOSHOW,18/05/24 09:18,CRITICAL,OPEN,0.0
I0106,DL00754,ROUTEDEVIATION,21/03/25 15:11,MEDIUM,PENDINGVENDOR,0.0
I0107,DL00612,BATTERYALERT,12/05/24 05:43,LOW,CLOSED,9.7
I0108,DL00265,CUSTOMERNOSHOW,28/06/24 13:27,HIGH,CLOSED,10.5
I0109,DL00760,ROUTEDEVIATION,23/07/24 16:26,HIGH,OPEN,0.0
I0110,DL00855,TEMPERATUREISSUE,01/08/25 13:40,MEDIUM,CLOSED,31.4
I0111,DL00403,SAFETYNEARMISS,11/02/25 11:15,LOW,ESCALATED,0.0
I0112,DL00627,BATTERYALERT,19/03/24 13:29,HIGH,OPEN,0.0
I0113,DL00562,APPSYNCERROR,14/12/24 11:33,MEDIUM,CLOSED,16.8
I0114,DL00373,ROUTEDEVIATION,20/01/24 07:06,LOW,CLOSED,20.6
I0115,DL00027,BATTERYALERT,01/01/24 05:05,CRITICAL,OPEN,0.0
I0116,DL00019,SAFETYNEARMISS,26/06/24 00:10,CRITICAL,ESCALATED,0.0
I0117,DL00911,ROUTEDEVIATION,17/04/25 18:32,HIGH,PENDINGVENDOR,0.0
I0118,DL00778,SAFETYNEARMISS,28/09/24 20:47,HIGH,ESCALATED,0.0
I0119,DL00273,APPSYNCERROR,16/10/25 05:16,HIGH,CLOSED,3.7
I0120,DL00169,VEHICLEFAULT,26/04/25 10:06,HIGH,CLOSED,0.4
I0121,DL00859,APPSYNCERROR,21/09/24 11:35,MEDIUM,CLOSED,4.9
I0122,DL00518,ROUTEDEVIATION,15/04/25 03:13,HIGH,OPEN,0.0
I0123,DL00939,CUSTOMERNOSHOW,01/10/25 20:08,MEDIUM,CLOSED,20.1
I0124,DL00324,TEMPERATUREISSUE,14/08/24 07:12,CRITICAL,CLOSED,4.9
I0125,DL00511,ROUTEDEVIATION,30/12/25 09:16,MEDIUM,OPEN,0.0
I0126,DL00688,ROUTEDEVIATION,24/10/25 17:22,MEDIUM,CLOSED,6.7
I0127,DL00404,TEMPERATUREISSUE,04/03/24 05:31,LOW,ESCALATED,0.0
I0128,DL00743,ROUTEDEVIATION,05/01/25 05:28,LOW,OPEN,0.0
I0129,DL00456,PROOFMISSING,16/09/24 22:56,MEDIUM,CLOSED,15.5
I0130,DL00496,CUSTOMERNOSHOW,23/04/24 22:00,CRITICAL,OPEN,0.0
I0131,DL00577,TEMPERATUREISSUE,01/12/24 22:06,MEDIUM,CLOSED,12.0
I0132,DL00768,TEMPERATUREISSUE,29/01/24 05:15,MEDIUM,CLOSED,4.9
I0133,DL00523,VEHICLEFAULT,26/05/24 19:46,CRITICAL,CLOSED,14.2
I0134,DL00423,BATTERYALERT,10/05/25 16:20,MEDIUM,OPEN,0.0
I0135,DL00011,PROOFMISSING,02/02/24 04:42,MEDIUM,OPEN,0.0
I0136,DL00414,CUSTOMERNOSHOW,03/12/24 18:37,HIGH,CLOSED,16.1
I0137,DL00525,BATTERYALERT,22/04/24 08:02,LOW,CLOSED,1.0
I0138,DL00050,APPSYNCERROR,09/05/25 05:30,MEDIUM,ESCALATED,0.0
I0139,DL00126,PROOFMISSING,04/09/24 17:00,MEDIUM,PENDINGVENDOR,0.0
I0140,DL00790,ROUTEDEVIATION,26/10/24 16:14,HIGH,OPEN,0.0
I0141,DL00294,ROUTEDEVIATION,20/10/25 03:35,LOW,CLOSED,18.0
I0142,DL00192,SAFETYNEARMISS,18/08/25 23:10,MEDIUM,ESCALATED,0.0
I0143,DL00848,VEHICLEFAULT,02/12/24 16:28,HIGH,OPEN,0.0
I0144,DL00288,CUSTOMERNOSHOW,20/06/24 13:44,MEDIUM,OPEN,0.0
I0145,DL00418,BATTERYALERT,11/02/24 09:19,CRITICAL,CLOSED,10.2
I0146,DL00291,PROOFMISSING,27/11/24 06:22,LOW,CLOSED,1.5
I0147,DL00771,CUSTOMERNOSHOW,08/11/24 04:09,MEDIUM,CLOSED,19.6
I0148,DL00247,ROUTEDEVIATION,31/12/24 13:52,LOW,CLOSED,18.6
I0149,DL00944,CUSTOMERNOSHOW,01/10/24 08:12,MEDIUM,CLOSED,3.1
I0150,DL00714,PROOFMISSING,10/06/25 08:55,MEDIUM,PENDINGVENDOR,0.0
I0151,DL00569,CUSTOMERNOSHOW,11/07/25 02:53,LOW,OPEN,0.0
I0152,DL00548,APPSYNCERROR,25/06/24 12:34,MEDIUM,PENDINGVENDOR,0.0
I0153,DL00766,APPSYNCERROR,27/01/25 07:51,MEDIUM,CLOSED,10.5
I0154,DL00603,BATTERYALERT,16/03/24 09:54,MEDIUM,OPEN,0.0
I0155,DL00507,ROUTEDEVIATION,30/04/25 01:04,HIGH,OPEN,0.0
I0156,DL00772,VEHICLEFAULT,24/10/24 09:55,HIGH,ESCALATED,0.0
I0157,DL00307,TEMPERATUREISSUE,22/09/24 19:02,MEDIUM,CLOSED,7.2
I0158,DL00308,CUSTOMERNOSHOW,16/01/24 02:49,HIGH,CLOSED,4.6
I0159,DL00776,VEHICLEFAULT,19/11/24 17:18,MEDIUM,CLOSED,1.4
I0160,DL00806,BATTERYALERT,28/12/25 15:15,LOW,CLOSED,10.2
I0161,DL00402,APPSYNCERROR,12/04/24 02:29,MEDIUM,PENDINGVENDOR,0.0
I0162,DL00231,TEMPERATUREISSUE,28/03/24 02:07,MEDIUM,OPEN,0.0
I0163,DL00062,APPSYNCERROR,24/02/24 19:54,MEDIUM,OPEN,0.0
I0164,DL00844,ROUTEDEVIATION,01/03/25 20:43,CRITICAL,CLOSED,15.9
I0165,DL00057,VEHICLEFAULT,12/09/24 12:50,MEDIUM,OPEN,0.0
I0166,DL00529,TEMPERATUREISSUE,09/01/24 09:50,HIGH,ESCALATED,0.0
I0167,DL00364,BATTERYALERT,14/01/24 04:25,LOW,PENDINGVENDOR,0.0
I0168,DL00820,TEMPERATUREISSUE,13/12/24 20:11,HIGH,CLOSED,7.1
I0169,DL00443,CUSTOMERNOSHOW,01/01/24 10:12,LOW,PENDINGVENDOR,0.0
I0170,DL00009,BATTERYALERT,04/12/24 22:24,MEDIUM,CLOSED,7.4
I0171,DL00900,VEHICLEFAULT,10/02/24 17:28,HIGH,OPEN,0.0
I0172,DL00508,ROUTEDEVIATION,19/08/24 21:21,HIGH,PENDINGVENDOR,0.0
I0173,DL00300,CUSTOMERNOSHOW,25/09/24 14:37,MEDIUM,OPEN,0.0
I0174,DL00882,BATTERYALERT,26/06/24 16:01,MEDIUM,CLOSED,10.5
I0175,DL00095,ROUTEDEVIATION,01/08/24 02:06,MEDIUM,OPEN,0.0
I0176,DL00262,VEHICLEFAULT,04/09/25 22:47,HIGH,CLOSED,10.5
I0177,DL00068,ROUTEDEVIATION,19/02/24 18:08,CRITICAL,ESCALATED,0.0
I0178,DL00500,CUSTOMERNOSHOW,09/01/24 06:27,LOW,PENDINGVENDOR,0.0
I0179,DL00907,BATTERYALERT,17/04/24 03:46,LOW,CLOSED,6.9
I0180,DL00001,PROOFMISSING,18/06/24 11:38,HIGH,OPEN,0.0
I0181,DL00254,CUSTOMERNOSHOW,29/12/24 16:47,LOW,OPEN,0.0
I0182,DL00476,APPSYNCERROR,05/06/24 01:19,MEDIUM,PENDINGVENDOR,0.0
I0183,DL00783,PROOFMISSING,20/02/25 01:08,LOW,CLOSED,11.8
I0184,DL00688,BATTERYALERT,24/10/25 20:34,MEDIUM,OPEN,0.0
I0185,DL00446,ROUTEDEVIATION,21/10/25 03:58,HIGH,CLOSED,5.1
I0186,DL00933,PROOFMISSING,23/12/25 14:27,MEDIUM,OPEN,0.0
I0187,DL00404,PROOFMISSING,04/03/24 05:29,HIGH,CLOSED,5.6
I0188,DL00274,BATTERYALERT,13/01/25 07:02,LOW,OPEN,0.0
I0189,DL00596,ROUTEDEVIATION,22/06/25 01:34,HIGH,ESCALATED,0.0
I0190,DL00804,PROOFMISSING,11/09/25 06:08,MEDIUM,CLOSED,7.2
I0191,DL00358,APPSYNCERROR,22/11/25 03:12,MEDIUM,CLOSED,12.9
I0192,DL00922,BATTERYALERT,03/08/24 22:15,MEDIUM,CLOSED,0.1
I0193,DL00469,VEHICLEFAULT,04/10/25 03:52,HIGH,OPEN,0.0
I0194,DL00455,CUSTOMERNOSHOW,04/12/24 12:07,LOW,ESCALATED,0.0
I0195,DL00810,TEMPERATUREISSUE,03/09/25 20:27,MEDIUM,ESCALATED,0.0
I0196,DL00013,VEHICLEFAULT,26/01/25 10:52,MEDIUM,CLOSED,0.2
I0197,DL00747,VEHICLEFAULT,11/10/25 07:11,MEDIUM,PENDINGVENDOR,0.0
I0198,DL00765,PROOFMISSING,01/01/24 06:44,MEDIUM,OPEN,0.0
I0199,DL00190,PROOFMISSING,11/01/25 01:32,MEDIUM,OPEN,0.0
I0200,DL00938,TEMPERATUREISSUE,04/04/24 05:43,LOW,PENDINGVENDOR,0.0
I0201,DL00170,ROUTEDEVIATION,06/04/25 05:25,MEDIUM,PENDINGVENDOR,0.0
I0202,DL00661,PROOFMISSING,12/01/24 02:55,HIGH,CLOSED,5.0
I0203,DL00475,SAFETYNEARMISS,06/03/24 11:44,MEDIUM,OPEN,0.0
I0204,DL00553,APPSYNCERROR,07/03/24 17:43,LOW,OPEN,0.0
I0205,DL00253,PROOFMISSING,30/09/24 08:49,LOW,CLOSED,13.5
I0206,DL00331,APPSYNCERROR,23/11/25 23:51,LOW,ESCALATED,0.0
I0207,DL00947,CUSTOMERNOSHOW,25/10/24 17:54,LOW,OPEN,0.0
I0208,DL00225,PROOFMISSING,10/05/25 23:13,MEDIUM,CLOSED,10.5
I0209,DL00434,PROOFMISSING,28/09/24 12:08,HIGH,CLOSED,2.3
I0210,DL00650,VEHICLEFAULT,29/11/25 08:07,MEDIUM,OPEN,0.0
I0211,DL00943,ROUTEDEVIATION,17/03/24 18:41,LOW,ESCALATED,0.0
I0212,DL00391,ROUTEDEVIATION,11/05/24 08:57,MEDIUM,CLOSED,2.3
I0213,DL00855,BATTERYALERT,01/08/25 14:27,MEDIUM,OPEN,0.0
I0214,DL00928,APPSYNCERROR,30/10/25 23:54,HIGH,CLOSED,10.5
I0215,DL00299,ROUTEDEVIATION,29/04/24 23:25,CRITICAL,OPEN,0.0
I0216,DL00094,BATTERYALERT,26/05/25 23:41,MEDIUM,CLOSED,10.5
I0217,DL00205,ROUTEDEVIATION,18/09/24 00:46,LOW,CLOSED,19.2
I0218,DL00463,BATTERYALERT,17/09/25 02:24,MEDIUM,PENDINGVENDOR,0.0
I0219,DL00739,APPSYNCERROR,11/03/25 12:11,MEDIUM,PENDINGVENDOR,0.0
I0220,DL00894,BATTERYALERT,18/11/25 13:08,MEDIUM,CLOSED,12.7
I0221,DL00329,CUSTOMERNOSHOW,10/01/25 22:29,CRITICAL,CLOSED,3.2
I0222,DL00706,APPSYNCERROR,07/12/25 06:38,MEDIUM,PENDINGVENDOR,0.0
I0223,DL00545,BATTERYALERT,16/06/24 08:16,HIGH,ESCALATED,0.0
I0224,DL00325,VEHICLEFAULT,11/06/24 13:19,MEDIUM,OPEN,0.0
I0225,DL00447,VEHICLEFAULT,04/12/25 21:13,MEDIUM,PENDINGVENDOR,0.0
I0226,DL00248,TEMPERATUREISSUE,22/08/25 18:22,LOW,CLOSED,12.5
I0227,DL00139,VEHICLEFAULT,08/05/25 04:36,LOW,OPEN,0.0
I0228,DL00038,BATTERYALERT,26/10/25 18:53,MEDIUM,CLOSED,11.8
I0229,DL00557,VEHICLEFAULT,19/11/24 16:54,MEDIUM,PENDINGVENDOR,0.0
I0230,DL00578,TEMPERATUREISSUE,21/02/24 09:47,MEDIUM,ESCALATED,0.0
I0231,DL00272,CUSTOMERNOSHOW,09/02/25 16:25,LOW,OPEN,0.0
I0232,DL00464,TEMPERATUREISSUE,05/02/24 18:19,MEDIUM,PENDINGVENDOR,0.0
I0233,DL00673,SAFETYNEARMISS,29/09/24 11:20,HIGH,PENDINGVENDOR,0.0
I0234,DL00194,CUSTOMERNOSHOW,08/07/25 12:06,CRITICAL,CLOSED,10.2
I0235,DL00339,APPSYNCERROR,22/06/25 12:40,HIGH,OPEN,0.0
I0236,DL00108,CUSTOMERNOSHOW,11/08/24 05:01,LOW,CLOSED,11.7
I0237,DL00397,PROOFMISSING,03/10/24 18:24,CRITICAL,CLOSED,11.8
I0238,DL00336,SAFETYNEARMISS,21/02/25 18:42,LOW,CLOSED,4.0
I0239,DL00239,CUSTOMERNOSHOW,14/08/24 12:07,MEDIUM,ESCALATED,0.0
I0240,DL00213,CUSTOMERNOSHOW,16/10/25 10:42,LOW,CLOSED,14.9
I0241,DL00189,CUSTOMERNOSHOW,11/05/24 13:46,HIGH,ESCALATED,0.0
I0242,DL00798,APPSYNCERROR,08/01/24 00:27,LOW,CLOSED,16.5
I0243,DL00052,CUSTOMERNOSHOW,05/06/25 14:07,MEDIUM,CLOSED,25.6
I0244,DL00421,APPSYNCERROR,07/06/25 00:57,CRITICAL,CLOSED,10.3
I0245,DL00347,PROOFMISSING,12/09/24 02:59,LOW,OPEN,0.0
I0246,DL00720,TEMPERATUREISSUE,13/10/25 23:28,HIGH,ESCALATED,0.0
I0247,DL00707,ROUTEDEVIATION,11/12/25 10:47,CRITICAL,OPEN,0.0
I0248,DL00371,BATTERYALERT,31/03/24 09:36,HIGH,OPEN,0.0
I0249,DL00404,SAFETYNEARMISS,04/03/24 04:11,MEDIUM,PENDINGVENDOR,0.0
I0250,DL00378,CUSTOMERNOSHOW,14/05/25 02:12,HIGH,CLOSED,33.9
I0251,DL00135,CUSTOMERNOSHOW,28/07/25 06:36,HIGH,ESCALATED,0.0
I0252,DL00016,VEHICLEFAULT,06/12/25 02:24,MEDIUM,PENDINGVENDOR,0.0
I0253,DL00388,PROOFMISSING,12/11/24 14:31,LOW,PENDINGVENDOR,0.0
I0254,DL00275,VEHICLEFAULT,02/09/25 20:10,HIGH,CLOSED,23.6
I0255,DL00468,BATTERYALERT,20/04/25 07:56,HIGH,ESCALATED,0.0
I0256,DL00073,TEMPERATUREISSUE,23/07/25 07:40,CRITICAL,CLOSED,20.0
I0257,DL00075,VEHICLEFAULT,08/06/24 06:54,MEDIUM,CLOSED,3.0
I0258,DL00036,APPSYNCERROR,11/09/24 01:48,LOW,OPEN,0.0
I0259,DL00703,PROOFMISSING,24/04/25 11:49,CRITICAL,OPEN,0.0
I0260,DL00800,VEHICLEFAULT,20/04/24 04:36,LOW,PENDINGVENDOR,0.0
I0261,DL00599,CUSTOMERNOSHOW,20/02/25 09:24,CRITICAL,CLOSED,19.0
I0262,DL00674,SAFETYNEARMISS,16/01/24 07:01,LOW,OPEN,0.0
I0263,DL00945,ROUTEDEVIATION,24/01/25 07:15,LOW,CLOSED,2.5
I0264,DL00772,VEHICLEFAULT,24/10/24 07:59,HIGH,ESCALATED,0.0
I0265,DL00734,CUSTOMERNOSHOW,20/01/25 01:08,HIGH,OPEN,0.0
I0266,DL00608,VEHICLEFAULT,28/12/24 18:53,MEDIUM,OPEN,0.0
I0267,DL00874,APPSYNCERROR,03/08/25 08:30,HIGH,ESCALATED,0.0
I0268,DL00108,ROUTEDEVIATION,11/08/24 01:48,LOW,OPEN,0.0
I0269,DL00153,ROUTEDEVIATION,08/05/24 11:52,LOW,CLOSED,23.3
I0270,DL00539,TEMPERATUREISSUE,13/05/24 02:53,LOW,ESCALATED,0.0
I0271,DL00755,ROUTEDEVIATION,01/05/24 07:16,MEDIUM,OPEN,0.0
I0272,DL00050,BATTERYALERT,09/05/25 05:18,HIGH,CLOSED,20.3
I0273,DL00369,CUSTOMERNOSHOW,02/12/24 23:47,MEDIUM,CLOSED,15.8
I0274,DL00561,TEMPERATUREISSUE,20/07/24 08:57,CRITICAL,CLOSED,2.7
I0275,DL00804,ROUTEDEVIATION,11/09/25 06:06,LOW,CLOSED,16.9
I0276,DL00472,SAFETYNEARMISS,12/01/25 22:02,HIGH,PENDINGVENDOR,0.0
I0277,DL00116,CUSTOMERNOSHOW,14/10/25 15:24,LOW,CLOSED,18.1
I0278,DL00725,TEMPERATUREISSUE,29/11/25 00:45,LOW,CLOSED,17.8
I0279,DL00089,APPSYNCERROR,04/01/25 17:37,LOW,OPEN,0.0
I0280,DL00219,BATTERYALERT,08/07/24 06:39,MEDIUM,PENDINGVENDOR,0.0
